"ncbi_gene_id","gene_symbol","PAAD_fdr_adjusted_p_value","PAAD_cancer_sample_med","PAAD_normal_sample_med","PAAD_log2_fold_change","PAAD_p_value","KIRC_fdr_adjusted_p_value","KIRC_cancer_sample_med","KIRC_normal_sample_med","KIRC_log2_fold_change","KIRC_p_value","BRCA_fdr_adjusted_p_value","BRCA_cancer_sample_med","BRCA_normal_sample_med","BRCA_log2_fold_change","BRCA_p_value","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value"
1472,"CST4",0.0020281,3.325,1,1.73335434061383,0.0331100667763158,0.035791,1,1,0,0.0530449609701146,3.9158e-11,1,1,0,1.15688358881876e-10,0.00053198,1,1,0,0.000950476050986051
147372,"CCBE1",0.015161,1,1,0,0.14136973790512,6.4981e-12,1,5.018,-2.32711247074709,2.0706155378259e-11,1.0069e-15,1,2.438,-1.28569812595813,3.84119286427146e-15,4.2966e-15,1.188,12.448,-3.38930722418543,1.70176513595166e-14
147381,"CBLN2",0.022316,1,1,0,0.183095955390335,2.3049e-05,1,1.114,-0.155749232677945,4.69118149058149e-05,2.7553e-15,1,1,0,1.02602379444715e-14,0.0076666,1,1,0,0.0115848880737677
147841,"SPC24",0.02788,8.371,4.65,0.848169261258086,0.211088390541571,1e-20,4.292,1.013,2.08301590195538,5.66341093670886e-20,1e-20,14.375,1.694,3.08505617627426,5.02960526315789e-20,1e-20,10.111,1.62,2.64185997176772,5.48805712878601e-20
148398,"SAMD11",0.00044409,5.16,9.445,-0.872179730965116,0.0107382152009744,0.0081954,3.145,7.562,-1.26570783222058,0.0133648061538462,1e-20,2.146,1,1.10165007609443,5.02960526315789e-20,3.0635e-06,2.006,1.411,0.507603618014916,6.73070036474763e-06
148418,"SAMD13",0.044548,5.814,3.626,0.681152146392079,0.283178641050272,1e-20,1.068,4.234,-1.98710962232004,5.66341093670886e-20,0.0066608,2.016,3.775,-0.904981005599887,0.0101042031880415,9.3809e-12,2.546,2.126,0.260090822370253,3.01083119671659e-11
148523,"CIART",0.0071256,8.997,7.099,0.341828209106077,0.0840507493761141,1e-20,17.641,7.8,1.17738631492297,5.66341093670886e-20,2.9925e-20,15.561,9.831,0.662524696820678,1.46808529411765e-19,4.9044e-20,10.762,4.414,1.28578767717516,2.59507034188034e-19
148641,"SLC35F3",0.0037556,1.308,1.244,0.0723760553674802,0.0527813118188252,5.8908e-13,1.107,1,0.146655222119465,2.00507735200122e-12,4.6151e-17,1,7.448,-2.89685307289671,1.90236014557872e-16,1e-20,1.41,1,0.495695162624069,5.48805712878601e-20
148808,"MFSD4A",0.0002676,7.638,7.655,-0.00320745776463609,0.00727571726402189,2.1536e-14,5.814,219.178,-5.23642811329718,8.00655212765957e-14,1.7234e-17,1.441,6.082,-2.07747548085605,7.2725260349586e-17,1e-20,16.25,9.391,0.791089021685558,5.48805712878601e-20
1491,"CTH",0.039646,2.922,1.989,0.554912901969755,0.263404414993307,1e-20,4.48,18.792,-2.06854798106723,5.66341093670886e-20,2.0847e-06,4.502,6.37,-0.500727315689507,4.55488182337811e-06,4.4649e-20,7.093,4.176,0.764274235684924,2.36813960732984e-19
149175,"MANEAL",0.0010044,5.577,3.017,0.886374574493936,0.0197263295746785,1.7076e-07,1.91,4.172,-1.12716651959665,4.04653793030399e-07,1e-20,8.257,3.942,1.06668992883658,5.02960526315789e-20,1e-20,7.876,2.493,1.65958022841005,5.48805712878601e-20
149465,"CFAP57",0.0065408,1,1,0,0.0790791483556638,3.6937e-06,1,1.724,-0.785759774427011,7.95659194837715e-06,1e-20,1.16,1,0.214124805352847,5.02960526315789e-20,0.0040498,1.32,3.668,-1.47445570934924,0.00636739983068783
149466,"C1orf210",0.047821,28.763,15.586,0.883963436221793,0.295414313627878,1e-20,16.64,60.949,-1.87294711703217,5.66341093670886e-20,6.8077e-08,25.439,20.483,0.312614927654569,1.65624906651109e-07,8.5825e-17,38.286,29.158,0.39292517385935,3.75276000588581e-16
1496,"CTNNA2",0.0030854,1,1,0,0.0454856923533779,0.0058661,1,1,0,0.00972941732295143,0.0015516,1,1,0,0.00253913278630039,0.010117,1,1,0,0.0150408631178707
149603,"RNF187",0.04579,92.279,86.738,0.0893381920475648,0.287756593858816,1e-20,147.703,126.861,0.219450509443412,5.66341093670886e-20,1e-20,163.969,90.029,0.864961384438159,5.02960526315789e-20,1e-20,103.393,73.533,0.491674764079326,5.48805712878601e-20
1497,"CTNS",0.034819,9.169,14.694,-0.680390877085211,0.24313288357369,1e-20,13.666,20.849,-0.609387156078611,5.66341093670886e-20,2.378e-11,10.776,12.948,-0.26490751474687,7.10333810888252e-11,7.0642e-05,12.688,12.005,0.0798292725861996,0.000138589005281225
149773,"APCDD1L-DT",2.7141e-06,1,1,0,0.00015111431372549,4.5198e-12,1,8.346,-3.06108492060131,1.45453016978417e-11,1.838e-10,1,7.656,-2.93659082982394,5.2352868852459e-10,7.6476e-05,1,1,0,0.000149549935246117
150197,"LINC00896",2.524e-05,1,1,0,0.00103525719008264,7.7688e-05,1,1,0,0.000152324871394758,7.2719e-11,1,1,0,2.11812327279655e-10,4.4132e-19,1,1,0,2.21225794871795e-18
150290,"DUSP18",0.007561,6.437,5.957,0.111802509766144,0.0873695995343423,0.0029762,5.111,4.662,0.132656586871343,0.00509769407259917,0.04722,4.947,5.646,-0.19067522929107,0.0634812837045721,2.7652e-06,5.045,7.124,-0.497833247107899,6.09635101394797e-06
150350,"ENTHD1",6.0269e-05,1,1,0,0.00213653605,0.046084,1,1,0,0.0667158236893204,8.0801e-06,1,1,0,1.67178253044655e-05,2.5554e-05,1,1,0,5.20777247622531e-05
150372,"NFAM1",0.04533,5.489,20.63,-1.91012857679929,0.286093444373808,1e-20,7.382,1.539,2.2620185059174,5.66341093670886e-20,1.3136e-09,4.652,3.244,0.520077277255945,3.55569644753924e-09,6.0327e-10,6.22,14.817,-1.25226688908164,1.71866016745494e-09
150465,"TTL",0.0040696,8.408,10.998,-0.387406617298863,0.0560561047817048,3.9304e-17,8.135,11.36,-0.481748583832154,1.7487035289437e-16,0.00018993,10.848,10.688,0.0214371706622918,0.000343509545777147,0.010439,9.282,10.962,-0.240003437178453,0.0154844587687188
150468,"CKAP2L",0.021026,2.422,1.112,1.12304207697082,0.176047301560523,2.2452e-05,1.297,1,0.375178479589612,4.57508593294461e-05,1e-20,5.743,1,2.52180456172394,5.02960526315789e-20,1e-20,4.49,1,2.16671544496642,5.48805712878601e-20
150696,"PROM2",0.00039653,61.201,28.224,1.11663276016564,0.00986455333333333,1e-20,1.377,149.314,-6.76067707228905,5.66341093670886e-20,1e-20,86.56,58.831,0.557123940003779,5.02960526315789e-20,1e-20,47.375,8.764,2.43446455384296,5.48805712878601e-20
150786,"RAB6D",0.038309,1,1,0,0.258055811525424,0.040628,1,1,0,0.0595196075194865,0.00083854,1,1,0,0.00141577700971731,0.010771,1,1,0,0.0159493240980666
151242,"PPP1R1C",1.7187e-05,2.546,1.106,1.20288103366665,0.000743068991304348,5.7865e-08,1,1.552,-0.634128557525041,1.41737880845471e-07,4.3015e-06,1,1,0,9.11698572220682e-06,0.0022014,2.016,2.668,-0.404263027684669,0.0035898589156362
151477,"LINC00471",0.029305,1,1,0,0.217577623036649,0.01442,1,1,0,0.0228024406108597,0.013408,1,1,0,0.0195668414354798,1e-20,1,1,0,5.48805712878601e-20
152007,"GLIPR2",0.032937,38.466,84.553,-1.136272128827,0.235712085075703,4.2255e-15,29.141,13.511,1.10891592773904,1.65194079706345e-14,1.2999e-08,36.218,63.399,-0.80775320355004,3.31320146682965e-08,1e-20,39.195,177.718,-2.18084828028169,5.48805712878601e-20
152519,"NIPAL1",0.026116,2.76,2.163,0.351634601703553,0.202312389863548,8.4032e-12,1,10.244,-3.35670725293538,2.65835885714286e-11,2.9502e-07,1.1,3.332,-1.59888487695353,6.87351046322633e-07,3.1416e-14,1.984,1,0.988412025724788,1.1771492804304e-13
152831,"KLB",0.00085421,1,1,0,0.0174104485831622,7.2689e-05,1,1,0,0.000142848798348124,4.6547e-13,1,10.976,-3.45628048151073,1.53186317262161e-12,0.00025605,1,3.771,-1.91494715047958,0.000475350799666806
153218,"SPINK13",0.00027802,1,1,0,0.0075194183106267,8.7775e-19,4.108,1,2.03843618165611,4.35487056344277e-18,2.753e-06,1,1,0,5.94315276731928e-06,3.7822e-06,1,1,0,8.2430951887346e-06
153571,"C5orf38",0.0069134,1,1,0,0.08236615044991,8.0096e-13,1,3.535,-1.82171021503467,2.70526598610692e-12,3.6367e-13,6.128,5.617,0.125616494346347,1.20340087288991e-12,3.9787e-18,2.964,11.831,-1.99695466801077,1.87351123811536e-17
153572,"IRX2",0.02011,1,1.56,-0.641546029087524,0.171343795795796,1e-20,1,27.52,-4.78240856492737,5.66341093670886e-20,0.00090113,23.002,62.795,-1.44889038283096,0.00151609569762324,2.9698e-11,14.026,57.073,-2.02470476608089,9.22479896864112e-11
1537,"CYC1",3.8923e-08,162.007,144.581,0.164178176342392,3.82524453465346e-06,4.4304e-15,232.488,406.717,-0.806869041360111,1.72955926701571e-14,1e-20,233.829,145.007,0.68933132135307,5.02960526315789e-20,1e-20,208.719,112.579,0.890624198725808,5.48805712878601e-20
