"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"PAAD",102465668,0.02592,2.236,1.212,0.883530489370239,0.201126593200469,"MIR7111"
"PAAD",340204,0.023224,1,1.154,-0.206643223983395,0.187950610680799,"CLPSL1"
"PAAD",1208,0.01711,22.342,80.7,-1.85281033544676,0.153487446904654,"CLPS"
"PAAD",6732,0.0014124,16.19,11.726,0.465392023793455,0.0252603286486487,"SRPK1"
"PAAD",116369,0.0090268,1,1,0,0.098787229106946,"SLC26A8"
"PAAD",5603,0.032576,33.393,27.95,0.256697426705759,0.234481055837563,"MAPK13"
"PAAD",401258,0.018381,1,1,0,0.160961452139391,"RAB44"
"PAAD",154467,0.0016254,39.707,53.3,-0.424742168561742,0.0281894935427574,"CCDC167"
"PAAD",83795,0.007013,8.088,7.511,0.106777999088888,0.0831176573134328,"KCNK16"
"PAAD",57497,0.0011525,1,1,0,0.0217899333333333,"LRFN2"
"PAAD",101060264,0.015127,1.664,1.564,0.0894149208337397,0.141165631578947,"FOXP4-AS1"
"PAAD",100616178,0.00088936,1,1,0,0.0178615810717897,"MIR4641"
"PAAD",5225,0.00022693,24.614,1.224,4.32980366483718,0.00635404,"PGC"
"PAAD",705,0.024356,25.611,22.344,0.196876106374931,0.193344668532587,"BYSL"
"PAAD",647024,0.019447,17.538,9.241,0.924363350845152,0.167271162911612,"C6orf132"
"PAAD",89953,2.2487e-05,37.906,26.551,0.513660026510404,0.000937840176470588,"KLC4"
"PAAD",84630,0.00075872,1,1,0,0.0160405851331203,"TTBK1"
"PAAD",221421,0.00036025,1,1,0,0.00920422522522523,"RSPH9"
"PAAD",55168,0.0067009,21.523,18.145,0.246307126257211,0.0805803622047244,"MRPS18A"
"PAAD",221416,0.012091,4.844,2.114,1.19622348831165,0.121411498229641,"C6orf223"
"PAAD",11131,0.00020531,1,1,0,0.00588140565656566,"CAPN11"
"PAAD",3326,0.010372,974.339,846.489,0.202932493284257,0.108516596417281,"HSP90AB1"
"PAAD",4794,0.01952,31.081,62.417,-1.00590609571784,0.167753696969697,"NFKBIE"
"PAAD",441151,0.022561,1,1,0,0.184313157201646,"TMEM151B"
"PAAD",100616352,0.028709,1,1,0,0.214987200301773,"MIR4642"
"PAAD",4224,0.032059,1,1,0,0.232021606999635,"MEP1A"
"PAAD",266977,0.00057747,17.901,1.467,3.60909940660267,0.0131618076234214,"ADGRF1"
