"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"LUAD",25840,1e-20,52.469,199.128,-1.92415889789134,5.48805712878601e-20,"METTL7A"
"LUAD",94,1e-20,17.322,105.804,-2.61071675213651,5.48805712878601e-20,"ACVRL1"
"LUAD",113523638,1e-20,4.078,19.821,-2.28109607008183,5.48805712878601e-20,"SMIM41"
"LUAD",144501,1e-20,33.058,5.997,2.46268656669687,5.48805712878601e-20,"KRT80"
"LUAD",23371,3.7881e-19,33.732,103.439,-1.61659046836086,1.90834956374322e-18,"TNS2"
"LUAD",9700,1e-20,4.483,1,2.1644644993886,5.48805712878601e-20,"ESPL1"
"LUAD",53831,1e-20,3.979,1.155,1.78451304739032,5.48805712878601e-20,"GPR84"
"LUAD",5153,7.0937e-13,2.631,7.953,-1.59588792242253,2.45378382585752e-12,"PDE1B"
"LUAD",196410,1e-20,20.301,4.498,2.17419522815291,5.48805712878601e-20,"METTL7B"
"LUAD",51561,1e-20,4.317,1.345,1.68242292001747,5.48805712878601e-20,"IL23A"
"LUAD",8630,1e-20,15.462,159.462,-3.36641382071665,5.48805712878601e-20,"HSD17B6"
"LUAD",1594,1e-20,5.8,1.431,2.01902922817563,5.48805712878601e-20,"CYP27B1"
"LUAD",11197,4.8827e-19,4.745,213.774,-5.49353450024517,2.44376229283629e-18,"WIF1"
"LUAD",253827,1e-20,11.133,45.283,-2.02412713305303,5.48805712878601e-20,"MSRB3"
"LUAD",5787,1.1005e-14,5.293,34.188,-2.69133246841013,4.25296401942084e-14,"PTPRB"
"LUAD",8825,1e-20,1.074,10.382,-3.27301849440642,5.48805712878601e-20,"LIN7A"
"LUAD",79611,1e-20,2.252,10.271,-2.18929791892154,5.48805712878601e-20,"ACSS3"
"LUAD",59277,1e-20,34.621,114.206,-1.72191914553225,5.48805712878601e-20,"NTN4"
"LUAD",55010,1e-20,3.309,1,1.72639529165045,5.48805712878601e-20,"PARPBP"
"LUAD",8437,1e-20,5.18,1,2.37295209791183,5.48805712878601e-20,"RASAL1"
"LUAD",6910,9.4953e-15,5.45,15.991,-1.55293202582545,3.68614790280439e-14,"TBX5"
"LUAD",255480,5.0284e-16,3.122,11.77,-1.9145718779479,2.10022396551724e-15,"TBX5-AS1"
"LUAD",6926,3.8249e-14,4.35,21.936,-2.33421317015577,1.42551080769231e-13,"TBX3"
"LUAD",84900,1e-20,2.888,1,1.53007074222508,5.48805712878601e-20,"RNFT2"
"LUAD",54997,1e-20,69.768,16.442,2.08517967861769,5.48805712878601e-20,"TESC"
"LUAD",26353,1e-20,31.337,122.377,-1.96539346058067,5.48805712878601e-20,"HSPB8"
"LUAD",92558,1e-20,13.576,3.355,2.01667379845512,5.48805712878601e-20,"BICDL1"
"LUAD",5319,2.9906e-17,4.444,74.499,-4.06729033857108,1.34215670962545e-16,"PLA2G1B"
"LUAD",9735,1e-20,9.233,2.566,1.84727831621947,5.48805712878601e-20,"KNTC1"
"LUAD",338442,3.7563e-12,4.036,20.514,-2.34561074904819,1.23512331218649e-11,"HCAR2"
"LUAD",283383,1.3312e-18,10.863,40.497,-1.89839245509185,6.46935333624073e-18,"ADGRD1"
"LUAD",4326,1e-20,5.462,1.201,2.18519316305965,5.48805712878601e-20,"MMP17"
