"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"COAD",5270,1e-20,90.41,29.31,1.62508938594616,9.45981387478849e-20,"SERPINE2"
"COAD",55022,1e-20,13.527,55.591,-2.03900941846392,9.45981387478849e-20,"PID1"
"COAD",81618,1e-20,397.538,2584.481,-2.70070991931127,9.45981387478849e-20,"ITM2C"
"COAD",54576,1.5711e-12,1,13.394,-3.74351496805007,7.59500849546044e-12,"UGT1A8"
"COAD",54575,2.9358e-15,1.984,44.095,-4.47413114480563,1.7947866429743e-14,"UGT1A10"
"COAD",55355,1e-20,21.776,6.686,1.70352371188659,9.45981387478849e-20,"HJURP"
"COAD",55502,1e-20,93.596,32.41,1.53000785420128,9.45981387478849e-20,"HES6"
"COAD",129807,9.815e-14,5.558,50.508,-3.18387417586165,5.28134853224254e-13,"NEU4"
"COAD",152330,2.7697e-14,1,5.477,-2.45338588036645,1.5617448587998e-13,"CNTN4"
"COAD",8553,1e-20,137.81,47.898,1.52464325706644,9.45981387478849e-20,"BHLHE40"
"COAD",3656,1e-20,9.172,3.024,1.60077821535972,9.45981387478849e-20,"IRAK2"
"COAD",6533,1e-20,47.43,5.664,3.06590669788389,9.45981387478849e-20,"SLC6A6"
"COAD",23228,3.0686e-18,2.851,21.731,-2.93021462045955,2.41624304118268e-17,"PLCL2"
"COAD",8850,2.0975e-19,6.604,19.614,-1.57047175757516,1.80617606854062e-18,"KAT2B"
"COAD",151648,1e-20,7.377,2.466,1.5808614359144,9.45981387478849e-20,"SGO1"
"COAD",7068,2.0798e-11,1.836,10.907,-2.57061637516711,9.09297505376344e-11,"THRB"
"COAD",9881,6.1952e-11,7.342,30.47,-2.0531444804743,2.59153119341564e-10,"TRANK1"
"COAD",50853,1.9884e-16,47.26,171.894,-1.8628276536649,1.34178e-15,"VILL"
"COAD",5333,8.2195e-15,12.943,80.661,-2.63969923984803,4.81815671035387e-14,"PLCD1"
"COAD",7433,4.5805e-14,23.179,90.814,-1.97009639611936,2.53047730978261e-13,"VIPR1"
"COAD",25994,1.5651e-14,37.293,119.724,-1.68273562232402,8.9859643902439e-14,"HIGD1A"
"COAD",1238,3.2357e-12,1,3.466,-1.79327165449808,1.52497279452055e-11,"ACKR2"
"COAD",7123,4.88e-16,2.955,62.06,-4.39243366135119,3.17982051282051e-15,"CLEC3B"
"COAD",729230,1.7605e-11,1.011,7.266,-2.84537836851247,7.74848681361937e-11,"CCR2"
"COAD",6997,1e-20,23.974,3.56,2.75152149270847,9.45981387478849e-20,"TDGF1"
"COAD",1294,1e-20,6.944,1.11,2.64520727120701,9.45981387478849e-20,"COL7A1"
"COAD",1951,1e-20,4.96,1,2.31034012061215,9.45981387478849e-20,"CELSR3"
"COAD",788,1e-20,25.107,85.791,-1.77273665482656,9.45981387478849e-20,"SLC25A20"
"COAD",4485,1.1664e-16,4.516,1.423,1.66610982424652,8.02097269372694e-16,"MST1"
"COAD",109616991,3.1885e-14,7.642,2.353,1.69944893713321,1.78976971636546e-13,"SNORD19C"
"COAD",1776,5.8514e-15,1.372,48.7,-5.14956938568425,3.47648401168969e-14,"DNASE1L3"
"COAD",11170,4.0682e-11,1.372,19.969,-3.86340970123295,1.73719985869773e-10,"FAM107A"
"COAD",131177,2.1743e-11,163.687,503.44,-1.62088010031117,9.48758456585366e-11,"FAM3D"
"COAD",8618,1e-20,7.498,2.353,1.67200450506379,9.45981387478849e-20,"CADPS"
"COAD",317649,1e-20,4.406,15.905,-1.85193897172599,9.45981387478849e-20,"EIF4E3"
"COAD",5067,1.793e-13,1,4.379,-2.13060144979056,9.40799131862975e-13,"CNTN3"
"COAD",2838,6.0434e-13,1,18.62,-4.21878116778407,3.03431868432869e-12,"GPR15"
"COAD",1295,1.1228e-18,15.918,3.364,2.24240947069471,9.1306096e-18,"COL8A1"
"COAD",84319,1e-20,17.473,5.447,1.68159355854808,9.45981387478849e-20,"CMSS1"
"COAD",11148,3.4564e-16,23.465,234.422,-3.32052560445848,2.27943005603067e-15,"HHLA2"
"COAD",57650,1e-20,9.511,3.154,1.59241437593057,9.45981387478849e-20,"CIP2A"
"COAD",10721,1e-20,3.918,1.239,1.66094121012699,9.45981387478849e-20,"POLQ"
"COAD",11343,6.6999e-16,94.07,272.263,-1.53319432686759,4.32159976059994e-15,"MGLL"
"COAD",80111,1.564e-13,28.183,148.005,-2.39274881901995,8.25093937249351e-13,"SLCO2A1"
"COAD",5523,1.7291e-20,3.49,12.914,-1.88763699065033,1.60381017420158e-19,"PPP2R3A"
"COAD",285195,5.0405e-16,1.516,7.303,-2.26821947706361,3.28248985148515e-15,"SLC9A9"
"COAD",1359,1.2706e-11,6.004,35.931,-2.58123320564749,5.65348742538798e-11,"CPA3"
"COAD",9934,3.4306e-12,1.552,10.609,-2.77308821217931,1.6130888940286e-11,"P2RY14"
"COAD",5028,1e-20,2.735,15.823,-2.53241041887365,9.45981387478849e-20,"P2RY1"
"COAD",79782,1.5928e-12,11.043,34.722,-1.6527178943862,7.6958865845755e-12,"LRRC31"
"COAD",200916,1e-20,67.604,20.065,1.75242745443448,9.45981387478849e-20,"RPL22L1"
"COAD",56648,1e-20,4.859,1.454,1.74063216319769,9.45981387478849e-20,"EIF5A2"
"COAD",1894,1e-20,54.186,13.903,1.96252392920419,9.45981387478849e-20,"ECT2"
"COAD",1181,2.8151e-12,17.876,54.028,-1.59568332765029,1.33518730222694e-11,"CLCN2"
"COAD",2049,1e-20,93.316,32.573,1.51844786812631,9.45981387478849e-20,"EPHB3"
"COAD",9076,1e-20,68.356,2.351,4.86172153294259,9.45981387478849e-20,"CLDN1"
"COAD",131578,5.2133e-16,4.634,1.167,1.98945348315747,3.39008513812155e-15,"LRRC15"
"COAD",80235,1.1343e-11,22.066,95.592,-2.11506475583586,5.08343705410822e-11,"PIGZ"
"COAD",100507057,1e-20,3.258,1,1.70398660386343,9.45981387478849e-20,"MELTF-AS1"
"COAD",53834,1e-20,46.717,14.636,1.67442631164561,9.45981387478849e-20,"FGFRL1"
"COAD",55646,1e-20,56.678,18.464,1.61807372159127,9.45981387478849e-20,"LYAR"
"COAD",27065,6.1464e-15,2.587,8.513,-1.71838757641029,3.64111107814569e-14,"NSG1"
"COAD",4487,1.2649e-18,5.292,1,2.40381306161659,1.02637731132075e-17,"MSX1"
"COAD",6286,1e-20,952.236,120.331,2.98431081067517,9.45981387478849e-20,"S100P"
"COAD",64151,1e-20,12.404,4.252,1.54459192908152,9.45981387478849e-20,"NCAPG"
"COAD",10891,5.9773e-15,4.194,15.395,-1.87606310083559,3.54751485934183e-14,"PPARGC1A"
"COAD",55286,4.138e-17,11.856,36.739,-1.63169500546547,2.95401453878072e-16,"C4orf19"
"COAD",768211,7.598e-12,11.759,34.963,-1.57206360378051,3.4633932735426e-11,"RELL1"
"COAD",7358,3.2177e-15,56.562,204.091,-1.85130752480806,1.96069278201635e-14,"UGDH"
"COAD",201895,4.7796e-20,25.342,86.733,-1.77505062465193,4.30471988723319e-19,"SMIM14"
"COAD",80157,2.1093e-16,1,49.374,-5.6256796236285,1.41950875413783e-15,"CWH43"
"COAD",3815,3.9121e-12,2.476,12.031,-2.28067334263985,1.83216462939698e-11,"KIT"
"COAD",10874,1e-20,7.572,2.184,1.79370155478385,9.45981387478849e-20,"NMU"
"COAD",5471,1e-20,19.634,5.781,1.76396314298252,9.45981387478849e-20,"PPAT"
"COAD",79799,7.4632e-17,2.481,100.514,-5.34033091439531,5.20747399687988e-16,"UGT2A3"
"COAD",27284,1.7107e-18,14.834,121.912,-3.03886056056897,1.37563409205322e-17,"SULT1B1"
"COAD",3512,5.1666e-12,120.334,6022.885,-5.64533847834412,2.39412921259843e-11,"JCHAIN"
"COAD",8671,8.7289e-18,1.564,92.417,-5.88484584037487,6.63734752465148e-17,"SLC4A4"
"COAD",2919,1e-20,105.238,12.973,3.02007169030196,9.45981387478849e-20,"CXCL1"
"COAD",2921,1e-20,65.909,8.245,2.99888408267669,9.45981387478849e-20,"CXCL3"
"COAD",2920,1e-20,34.285,8.011,2.09752327395871,9.45981387478849e-20,"CXCL2"
"COAD",2069,1e-20,21.3,2.799,2.92787003842765,9.45981387478849e-20,"EREG"
"COAD",374,1e-20,139.964,34.379,2.02545631462823,9.45981387478849e-20,"AREG"
