Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
LUAD,23207,PLEKHM2,0.00088517,-0.23141323526326
LUAD,284723,SLC25A34,0.30314,-0.0690146779151805
LUAD,388595,TMEM82,9.729e-07,0.0
LUAD,54751,FBLIM1,1e-20,0.908916539542168
LUAD,440567,UQCRHL,1e-20,0.673926878917741
LUAD,729614,AL450998.2,0.025218,-0.43334668568183
LUAD,23013,SPEN,0.60172,-0.186172233423695
LUAD,7709,ZBTB17,5.9803e-10,0.184313914607964
LUAD,149563,SRARP,0.065645,0.0
LUAD,27129,HSPB7,6.9172e-13,-1.74972647378486
LUAD,1187,CLCNKA,0.006203,0.0
LUAD,1188,CLCNKB,8.3893e-07,0.0
LUAD,348487,FAM131C,2.4881e-06,0.0
LUAD,1969,EPHA2,0.63708,-0.34432175221732
LUAD,128272,ARHGEF19,1e-20,1.48099300610452
LUAD,79363,CPLANE2,0.10771,-0.0031007758537502
LUAD,54455,FBXO42,0.76573,-0.184969356655693
LUAD,26099,SZRD1,3.4899e-08,0.110301108471899
LUAD,374955,SPATA21,0.015588,0.0
LUAD,55707,NECAP2,2.3059e-12,-0.307887060354445
LUAD,107984921,LINC01772,0.025744,0.140208295996824
LUAD,26871,RNU1-1,0.0023628,0.0
LUAD,100132147,LINC01783,0.26241,0.0
LUAD,55672,NBPF1,0.0016803,0.0738421798800309
LUAD,9696,CROCC,0.41717,0.0219345213423217
LUAD,6060,RNU1-4,0.00645,0.0
LUAD,112267871,BX284668.2,2.056e-06,0.0130916963783593
LUAD,4237,MFAP2,1e-20,1.39781380860706
LUAD,23400,ATP13A2,1e-20,0.431518846443208
LUAD,6390,SDHB,3.3883e-13,0.241758683025134
LUAD,11240,PADI2,0.00092347,0.0685425581405811
LUAD,400743,AL590644.1,0.0019247,0.0
LUAD,29943,PADI1,5.0826e-07,0.0
LUAD,51702,PADI3,9.9993e-05,0.0
LUAD,100616188,MIR3972,0.00016593,0.0
LUAD,23569,PADI4,0.00011412,-0.190298791626595
LUAD,55920,RCC2,1e-20,0.892621422037852
LUAD,55160,ARHGEF10L,0.012745,0.0818266937572542
LUAD,81569,ACTL8,0.013471,0.0
LUAD,84966,IGSF21,0.085862,-0.478456111145481
LUAD,127707,KLHDC7A,1.7114e-12,0.440666446575221
LUAD,5081,PAX7,1.7458e-10,0.0
LUAD,8659,ALDH4A1,9.4578e-08,0.147293209512042
LUAD,126917,IFFO2,0.018689,-0.102772750086894
LUAD,23352,UBR4,8.1555e-07,0.17877602483342
LUAD,101927895,EMC1-AS1,3.2179e-12,0.0
LUAD,23065,EMC1,1e-20,0.409523091617437
LUAD,51154,MRTO4,1e-20,0.975135947511875
LUAD,22977,AKR7A3,1e-20,1.88635504352516
LUAD,8574,AKR7A2,9.1698e-13,0.218298394602256
LUAD,54896,PQLC2,1e-20,0.463244330434183
LUAD,832,CAPZB,1.7803e-05,0.0948157740153952
LUAD,440574,MICOS10,2.8029e-12,-0.629375870515483
LUAD,100532736,NBL1,0.0005325,-0.418334010262178
LUAD,3362,HTR6,0.16472,0.0
LUAD,255104,TMCO4,1e-20,0.474605893022624
LUAD,54546,RNF186,1.2486e-07,0.0
LUAD,23252,OTUD3,0.08949,-0.0290477133328978
LUAD,5320,PLA2G2A,0.58035,-0.928226742700292
LUAD,5322,PLA2G5,3.7708e-13,-1.25592215670917
LUAD,26279,PLA2G2D,4.1496e-05,1.39341522501884
LUAD,64600,PLA2G2F,0.0004662,0.0
LUAD,391013,PLA2G2C,3.3884e-13,0.0
LUAD,127733,UBXN10,0.50288,0.220966941587463
LUAD,127731,VWA5B1,0.051863,0.0
LUAD,55450,CAMK2N1,2.2147e-13,-1.76396681968004
LUAD,79594,MUL1,3.9472e-09,-0.256278133858551
LUAD,163933,FAM43B,0.78951,0.0
LUAD,978,CDA,1e-20,1.06389291258584
LUAD,65018,PINK1,5.9823e-11,-0.388334892279637
LUAD,100861548,PINK1-AS,0.036982,0.0133928299268994
LUAD,1650,DDOST,1e-20,0.799862338397059
LUAD,57576,KIF17,1.0814000000000001e-19,-2.1266597175281
LUAD,400745,SH2D5,0.00029713,0.0
LUAD,50809,HP1BP3,0.066851,0.0454755552480996
LUAD,8672,EIF4G3,1e-20,0.523633610656906
LUAD,100302155,MIR1256,0.0015102,0.0
LUAD,1889,ECE1,0.00053751,0.0711243978470285
LUAD,84224,NBPF3,2.1386e-05,0.227626766735256
LUAD,249,ALPL,3.2209e-13,-2.17372560435045
LUAD,5909,RAP1GAP,9.2261e-10,-0.0619901492747373
LUAD,84196,USP48,6.4983e-17,0.323273218734449
LUAD,401944,LDLRAD2,1.0559e-05,-0.375178479589612
LUAD,3339,HSPG2,0.31785,-0.0979178998227482
LUAD,23436,CELA3B,0.074516,0.0
LUAD,10136,CELA3A,0.17069,0.0
LUAD,29092,LINC00339,6.0627e-15,0.798968570627586
LUAD,998,CDC42,0.031911,-0.135450789470035
LUAD,54361,WNT4,0.0015295,-0.496610901706021
LUAD,100616433,MIR4418,0.0023177,0.0
LUAD,9923,ZBTB40,0.22346,-0.269913950159649
LUAD,2046,EPHA8,0.022012,0.0
LUAD,102466615,MIR6127,0.31691,0.0
LUAD,712,C1QA,4.8852e-19,-1.59461245176031
