Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
KIRC,1187,CLCNKA,5.0695e-13,-7.34619457638219
KIRC,1188,CLCNKB,1e-20,-8.62229712998955
KIRC,348487,FAM131C,0.0035903,-0.245830220870532
KIRC,1969,EPHA2,0.30226,0.170133611344894
KIRC,128272,ARHGEF19,0.77369,0.0212138420155491
KIRC,79363,CPLANE2,1.6859e-08,-0.476600856651817
KIRC,54455,FBXO42,0.33868,0.102814188638057
KIRC,26099,SZRD1,0.00020004,-0.05049988063246
KIRC,374955,SPATA21,0.026315,0.0
KIRC,55707,NECAP2,2.9266e-18,0.359568996054827
KIRC,107984921,LINC01772,1e-20,1.08481326283639
KIRC,26871,RNU1-1,0.093076,0.0
KIRC,100132147,LINC01783,0.083307,0.0
KIRC,55672,NBPF1,3.0503e-13,-0.69191020179477
KIRC,9696,CROCC,9.6329e-14,0.321482214649339
KIRC,6060,RNU1-4,0.033396,0.0
KIRC,112267871,BX284668.2,5.5994e-09,-1.06073915785768
KIRC,4237,MFAP2,0.72434,-1.12326112456899
KIRC,23400,ATP13A2,5.9605e-09,0.261147008662327
KIRC,6390,SDHB,1e-20,-1.04636499814243
KIRC,11240,PADI2,4.0487e-11,-2.76159965884265
KIRC,400743,AL590644.1,2.1592e-20,2.91418179500227
KIRC,29943,PADI1,0.0010991,0.492622328574446
KIRC,51702,PADI3,0.0012476,0.0
KIRC,100616188,MIR3972,0.0025146,0.0
KIRC,23569,PADI4,0.0082817,0.0
KIRC,55920,RCC2,0.0059442,0.0928314940167767
KIRC,55160,ARHGEF10L,6.9578e-16,-0.609950882645907
KIRC,81569,ACTL8,0.029765,0.0
KIRC,84966,IGSF21,1e-20,1.44415456485258
KIRC,127707,KLHDC7A,1.4265e-14,-1.20487470702034
KIRC,5081,PAX7,0.27571,0.0
KIRC,8659,ALDH4A1,2.2548e-12,-2.24111770382247
KIRC,126917,IFFO2,9.796e-07,0.545045130366725
KIRC,23352,UBR4,1.9319e-13,-0.549632332743497
KIRC,101927895,EMC1-AS1,1.2748e-15,0.0454429707611671
KIRC,23065,EMC1,0.046395,-0.134793303922247
KIRC,51154,MRTO4,1e-20,0.392111510445549
KIRC,22977,AKR7A3,1.4489e-09,-1.56895702079614
KIRC,8574,AKR7A2,2.4049e-08,-0.382546324967423
KIRC,54896,PQLC2,1.4457e-11,0.131655497902837
KIRC,832,CAPZB,0.27533,0.0190577113681233
KIRC,440574,MICOS10,1e-20,-1.22352194198821
KIRC,100532736,NBL1,4.7566e-12,0.376772168830319
KIRC,3362,HTR6,1e-20,0.296310560708092
KIRC,255104,TMCO4,9.3267e-06,-0.424837416028437
KIRC,54546,RNF186,0.12452,0.484177297904322
KIRC,23252,OTUD3,1.3119e-12,0.259661651425934
KIRC,5320,PLA2G2A,0.94066,0.0
KIRC,5322,PLA2G5,8.0517e-16,0.0
KIRC,26279,PLA2G2D,1.7044e-09,0.0
KIRC,64600,PLA2G2F,0.62887,0.0
KIRC,391013,PLA2G2C,0.00083105,0.0
KIRC,127733,UBXN10,0.02149,0.0395283641866376
KIRC,127731,VWA5B1,0.035619,-0.271425676092935
KIRC,55450,CAMK2N1,1e-20,-0.800264513107641
KIRC,79594,MUL1,1e-20,-0.616843254240017
KIRC,163933,FAM43B,1.7436e-08,-1.43829285157915
KIRC,978,CDA,0.36376,-0.403467855206656
KIRC,65018,PINK1,1e-20,-0.890513421501784
KIRC,100861548,PINK1-AS,1.1297e-08,0.267250444696097
KIRC,1650,DDOST,1e-20,0.31829627958698
KIRC,57576,KIF17,0.16316,-0.128941510246511
KIRC,400745,SH2D5,1e-20,0.361768359419153
KIRC,50809,HP1BP3,1e-20,-0.465703770247338
KIRC,8672,EIF4G3,4.3742e-08,-0.390043998954827
KIRC,100302155,MIR1256,0.054626,0.0
KIRC,1889,ECE1,1.6312e-09,0.210491089368082
KIRC,84224,NBPF3,3.9915e-13,-0.767490888070046
KIRC,249,ALPL,0.0053054,0.0950474374799675
KIRC,5909,RAP1GAP,2.441e-14,-2.82422786481345
KIRC,84196,USP48,0.48439,-0.0516957283899787
KIRC,401944,LDLRAD2,8.8056e-05,0.0
KIRC,3339,HSPG2,4.9192e-10,0.568873362448537
KIRC,23436,CELA3B,0.74991,0.0
KIRC,10136,CELA3A,0.12045,0.0
KIRC,29092,LINC00339,1e-20,0.942836111939223
KIRC,998,CDC42,3.1035e-13,-0.251499365558431
KIRC,54361,WNT4,0.0077251,-0.32883646422954
KIRC,100616433,MIR4418,0.69536,0.0
KIRC,9923,ZBTB40,2.6389e-06,-0.336973315074587
KIRC,2046,EPHA8,0.23567,0.0
KIRC,102466615,MIR6127,0.29965,0.0
KIRC,712,C1QA,1e-20,2.44618331777508
KIRC,714,C1QC,1e-20,2.69085249466299
