"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"KIRC",1238,3.6707e-13,1,3.671,-1.87617311443746,1.26754479234213e-12,"ACKR2"
"KIRC",23395,1e-20,9.106,31.99,-1.81273162798384,5.66341093670886e-20,"LARS2"
"KIRC",10663,1e-20,7.856,1.13,2.79747215701214,5.66341093670886e-20,"CXCR6"
"KIRC",729230,2.7751e-13,7.573,2.387,1.6656663622902,9.66337951113187e-13,"CCR2"
"KIRC",1234,1e-20,12.146,1.776,2.77377778749997,5.66341093670886e-20,"CCR5"
"KIRC",79442,1e-20,1,12.629,-3.65866850185465,5.66341093670886e-20,"LRRC2"
"KIRC",259173,4.7519e-14,3.962,22.57,-2.51010563318971,1.73350180068504e-13,"ALS2CL"
"KIRC",4634,7.0221e-14,12.486,53.326,-2.09452774416445,2.53725829725363e-13,"MYL3"
"KIRC",5745,1.5156e-14,20.359,268.759,-3.72257446190038,5.69712766386555e-14,"PTH1R"
"KIRC",5364,1e-20,23.434,82.399,-1.81402359691882,5.66341093670886e-20,"PLXNB1"
"KIRC",5210,1e-20,22.156,3.394,2.70663897362066,5.66341093670886e-20,"PFKFB4"
"KIRC",7384,1e-20,183.108,549.713,-1.58598377369803,5.66341093670886e-20,"UQCRC1"
"KIRC",327,1e-20,56,171.824,-1.61743283075181,5.66341093670886e-20,"APEH"
"KIRC",101928931,1.4915e-19,1,14.768,-3.88440255298369,7.79049252685661e-19,"SEMA3B-AS1"
"KIRC",7869,1e-20,14.699,69.275,-2.23661679650317,5.66341093670886e-20,"SEMA3B"
"KIRC",9254,1e-20,1,4.432,-2.1479578813871,5.66341093670886e-20,"CACNA2D2"
"KIRC",56920,1e-20,12.831,54.434,-2.08487444116911,5.66341093670886e-20,"SEMA3G"
"KIRC",7134,1e-20,1,28.852,-4.85059942381264,5.66341093670886e-20,"TNNC1"
"KIRC",23166,1e-20,44.636,14.651,1.60720860886187,5.66341093670886e-20,"STAB1"
"KIRC",55799,1e-20,1.164,6.327,-2.44243053760656,5.66341093670886e-20,"CACNA2D3"
"KIRC",1776,1e-20,9.377,75.912,-3.01712962396318,5.66341093670886e-20,"DNASE1L3"
"KIRC",54899,1e-20,12.921,44.693,-1.79033115890537,5.66341093670886e-20,"PXK"
"KIRC",5162,1e-20,54.539,156.182,-1.51786803916173,5.66341093670886e-20,"PDHB"
"KIRC",11170,1e-20,23.85,84.078,-1.81773908546227,5.66341093670886e-20,"FAM107A"
"KIRC",105377108,6.757e-11,1,3.7,-1.88752527074159,2.01341675992539e-10,"FAM3D-AS1"
"KIRC",8801,1e-20,88.072,261.146,-1.56810127287995,5.66341093670886e-20,"SUCLG2"
"KIRC",101927111,1e-20,4.032,17.913,-2.15143943059713,5.66341093670886e-20,"SUCLG2-AS1"
"KIRC",2850,1.1295e-20,1.426,10.427,-2.87027824625667,6.36813637509453e-20,"GPR27"
"KIRC",23024,1e-20,6.497,19.445,-1.58155362447516,5.66341093670886e-20,"PDZRN3"
"KIRC",5067,6.0426e-17,1,6.159,-2.62269612816767,2.65413966221524e-16,"CNTN3"
"KIRC",2042,1e-20,9.066,3.048,1.57260325839266,5.66341093670886e-20,"EPHA3"
"KIRC",84864,1e-20,4.485,14.523,-1.69515960977539,5.66341093670886e-20,"RIOX2"
"KIRC",10402,1.5128e-18,7.229,21.176,-1.55056210434039,7.38117033158813e-18,"ST3GAL6"
"KIRC",1295,1e-20,48.738,11.54,2.07840382623085,5.66341093670886e-20,"COL8A1"
"KIRC",55076,1e-20,44.856,5.972,2.90901490433177,5.66341093670886e-20,"TMEM45A"
"KIRC",11148,1e-20,67.23,6.826,3.29999283002005,5.66341093670886e-20,"HHLA2"
"KIRC",50852,1e-20,3.028,1,1.59836520532364,5.66341093670886e-20,"TRAT1"
"KIRC",10225,1e-20,8.386,1.065,2.97712939973319,5.66341093670886e-20,"CD96"
"KIRC",29114,2.6466e-17,1,9.823,-3.29616369909643,1.18958713022508e-16,"TAGLN3"
"KIRC",79669,4.6766e-11,2.65,14.656,-2.46742714375902,1.40890134159483e-10,"C3orf52"
"KIRC",4345,1e-20,55.142,17.968,1.61772176198615,5.66341093670886e-20,"CD200"
"KIRC",523,1e-20,72.472,249.81,-1.78533561594979,5.66341093670886e-20,"ATP6V1A"
"KIRC",54762,1e-20,10.93,39.683,-1.86022769531776,5.66341093670886e-20,"GRAMD1C"
"KIRC",201633,1e-20,4.384,1,2.13224779829844,5.66341093670886e-20,"TIGIT"
