Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
COAD,55920,RCC2,1e-20,0.921881911567391
COAD,55160,ARHGEF10L,0.032709,-0.242873631859105
COAD,81569,ACTL8,0.0055784,0.0
COAD,84966,IGSF21,0.22812,-0.380729448503549
COAD,127707,KLHDC7A,0.01329,-0.517023672064581
COAD,5081,PAX7,0.0043706,0.0
COAD,8659,ALDH4A1,1e-20,1.45853528566937
COAD,100302276,MIR1290,0.041346,0.0
COAD,126917,IFFO2,1e-20,1.14067551213135
COAD,23352,UBR4,0.19351,-0.0507965450196577
COAD,101927895,EMC1-AS1,0.15147,0.0
COAD,23065,EMC1,1.5562e-08,0.356899987165602
COAD,51154,MRTO4,1e-20,1.15766802193785
COAD,22977,AKR7A3,1.9509e-08,-1.15371898421159
COAD,8574,AKR7A2,8.0585e-15,-0.577827508162324
COAD,54896,PQLC2,0.062855,0.12369904855831
COAD,832,CAPZB,1e-20,-0.434096122219246
COAD,440574,MICOS10,1.0196e-16,-0.879541748262983
COAD,100532736,NBL1,8.3949e-17,-0.638215303066232
COAD,3362,HTR6,0.24708,0.0
COAD,255104,TMCO4,0.019832,-0.238081297294776
COAD,54546,RNF186,5.5723e-07,-1.48623195138443
COAD,23252,OTUD3,7.7846e-11,0.693333630527521
COAD,5320,PLA2G2A,0.036324,-1.78347768481823
COAD,5322,PLA2G5,0.0010759,-1.3790663992809
COAD,26279,PLA2G2D,0.012502,-1.82130203988953
COAD,64600,PLA2G2F,0.003651,0.0
COAD,391013,PLA2G2C,0.0097314,0.0
COAD,127733,UBXN10,0.77939,-0.105121922093461
COAD,127731,VWA5B1,0.0025142,0.0
COAD,55450,CAMK2N1,8.9189e-15,-1.17178492636237
COAD,79594,MUL1,1e-20,-0.675813164817259
COAD,163933,FAM43B,0.20325,0.0
COAD,978,CDA,6.7188e-07,-1.65944610551534
COAD,65018,PINK1,1e-20,-1.52616719177202
COAD,100861548,PINK1-AS,1.7652e-05,0.166921197192759
COAD,1650,DDOST,1.7707e-09,0.31242406865207
COAD,57576,KIF17,0.57559,0.0
COAD,400745,SH2D5,0.022297,0.0
COAD,50809,HP1BP3,0.019067,0.0559900553510993
COAD,8672,EIF4G3,0.044059,-0.288310956124302
COAD,100302155,MIR1256,0.0042224,0.0
COAD,1889,ECE1,1.551e-11,-1.03611561908541
COAD,84224,NBPF3,0.004705,0.247432908540897
COAD,249,ALPL,0.66424,-0.460123761584446
COAD,5909,RAP1GAP,0.98455,-0.957975431340056
COAD,84196,USP48,3.2027e-08,0.239838309221019
COAD,401944,LDLRAD2,0.12941,0.0
COAD,3339,HSPG2,0.40902,-0.162130477786574
COAD,23436,CELA3B,0.14736,0.0
COAD,10136,CELA3A,0.51209,0.0
COAD,101928043,LINC01635,0.22033,0.0
COAD,29092,LINC00339,0.00010761,0.310222594235084
COAD,998,CDC42,1.7076e-10,-0.366152081030021
COAD,54361,WNT4,0.33604,-0.645136055142188
COAD,100616433,MIR4418,0.065929,0.0
COAD,9923,ZBTB40,0.024089,0.175395117892155
COAD,2046,EPHA8,0.082094,0.0
COAD,102466615,MIR6127,0.24014,0.0
COAD,712,C1QA,2.8267e-07,-1.99809627509411
COAD,714,C1QC,1.3509e-08,-1.96194981563813
COAD,713,C1QB,3.0322e-06,-1.9631410496601
COAD,2048,EPHB2,1e-20,0.864023975945877
COAD,100616391,MIR4684,0.0041204,0.0
COAD,100422914,MIR4253,0.049879,0.0
COAD,729059,TEX46,0.086982,0.0
COAD,23028,KDM1A,1e-20,0.811830042331944
COAD,100422866,MIR3115,0.023195,0.0
COAD,7798,LUZP1,4.539e-08,-0.657676979467237
COAD,3352,HTR1D,6.4911e-11,2.53032049467804
COAD,10236,HNRNPR,1.5586e-20,0.532757461418194
COAD,80818,ZNF436,0.00035256,-0.378469697241583
COAD,148898,ZNF436-AS1,0.17996,0.0826641362861709
COAD,6920,TCEA3,1.1415e-20,-1.64079358973689
COAD,55616,ASAP3,2.7627e-18,-2.15507150023223
COAD,1870,E2F2,9.9498e-07,-0.654672784687237
COAD,3399,ID3,7.513e-11,-1.03772142697428
COAD,6135,RPL11,2.2392e-17,0.354627112135659
COAD,100506963,ELOA-AS1,4.6962e-05,0.505890929729957
COAD,6924,ELOA,0.81292,-0.0197697030671896
COAD,57095,PITHD1,4.7454e-09,0.31156202875947
COAD,11313,LYPLA2,0.51471,-0.0779791558504747
COAD,2582,GALE,0.27059,0.0293644680943265
COAD,3155,HMGCL,3.266e-18,-0.997200131419763
COAD,2517,FUCA1,3.4697e-18,-1.95911033872593
COAD,1269,CNR2,0.15314,0.0
COAD,55629,PNRC2,2.01e-05,-0.31247435041544
COAD,10772,SRSF10,1e-20,0.589141974556961
COAD,127294,MYOM3,1e-20,2.19049661136382
COAD,58985,IL22RA1,0.43947,-0.205232956223058
COAD,163702,IFNLR1,0.059905,-0.34766733245103
COAD,57822,GRHL3,1e-20,1.63923216324928
COAD,90529,STPG1,1.4064e-17,-1.14660147895134
COAD,57185,NIPAL3,2.5445e-13,-0.627796260698495
COAD,100750325,RCAN3AS,3.3459e-06,0.0
COAD,11123,RCAN3,3.1002e-17,0.367777900366505
COAD,400746,NCMAP,0.12973,0.0439433475875972
COAD,10250,SRRM1,3.9339e-09,0.352612075368594
COAD,25932,CLIC4,0.2914,-0.189000922637162
COAD,864,RUNX3,0.50419,-0.403890115864577
COAD,102465437,MIR6731,0.16561,0.0
COAD,25949,SYF2,0.098376,-0.103762578711974
COAD,57035,RSRP1,1.8189e-06,0.651714493118408
COAD,6007,RHD,0.0039865,0.0
COAD,23585,TMEM50A,2.8365e-15,-0.442759234866058
COAD,6006,RHCE,0.0024359,0.0
COAD,55219,MACO1,0.39547,-0.071135518715918
COAD,26119,LDLRAP1,2.2756e-10,-0.654707557221034
COAD,57134,MAN1C1,1.9171e-05,-0.864782414821888
COAD,57190,SELENON,0.00030241,0.340416742386747
COAD,56181,MTFR1L,1.3241e-07,-0.462888291102609
COAD,79000,AUNIP,1e-20,2.24639670957011
COAD,164091,PAQR7,8.7689e-12,0.597288154008932
COAD,3925,STMN1,1e-20,0.97749197680687
COAD,5051,PAFAH2,1.7435e-20,-1.18693405357192
COAD,2134,EXTL1,0.71852,0.0
COAD,7780,SLC30A2,0.0008968,0.0
COAD,84676,TRIM63,0.071223,0.0
COAD,149420,PDIK1L,0.0003313,0.147746680970132
COAD,79927,FAM110D,2.7254e-05,-1.04753838876336
COAD,110806296,C1orf232,0.3181,0.0
COAD,10256,CNKSR1,0.00018406,0.202757694952986
COAD,64793,CEP85,9.434800000000002e-19,0.693709984495249
COAD,83442,SH3BGRL3,1.2114e-06,-0.522054656839502
COAD,91544,UBXN11,1e-20,0.98958382386578
COAD,1043,CD52,1.0204e-06,-1.40909030615934
COAD,55057,CRYBG2,0.05425,-0.562446636834989
COAD,257101,ZNF683,0.17911,0.0
COAD,79727,LIN28A,0.3181,0.0
COAD,79947,DHDDS,4.2647000000000004e-20,-1.16734428498155
COAD,3151,HMGN2,0.59375,-0.0345549600692942
COAD,6195,RPS6KA1,5.681e-16,-0.938689218065786
COAD,8289,ARID1A,0.91733,-0.0841453042150703
COAD,55650,PIGV,3.2889e-05,-0.247613238372002
COAD,84243,ZDHHC18,2.2073e-08,-0.384403331740259
COAD,2810,SFN,1.3426e-05,-0.749997734638485
COAD,54707,GPN2,1.5345e-06,-0.298762908209469
COAD,63906,GPATCH3,7.9913e-14,-0.304165352086261
COAD,10726,NUDC,1e-20,0.64942351660988
COAD,8431,NR0B2,0.20121,2.08994683248792
COAD,126695,KDF1,9.601e-05,-0.358097481355651
COAD,388610,TRNP1,6.6387e-07,0.901721692450415
COAD,115572,TENT5B,0.017133,-2.24732950512792
COAD,6548,SLC9A1,1.1036e-14,-1.50797014567265
COAD,23038,WDTC1,9.9685e-13,-0.593038647300368
COAD,84065,TMEM222,0.33217,0.0262291033366579
COAD,84958,SYTL1,2.1177e-13,0.973083266977338
COAD,9064,MAP3K6,0.7946,0.0340849136388881
COAD,8547,FCN3,0.0038148,1.04404433270602
COAD,388611,CD164L2,0.007552,0.0
COAD,2827,GPR3,1e-20,0.520045024039818
COAD,10163,WASF2,2.1206e-07,-0.421701636182606
COAD,27245,AHDC1,0.17782,-0.0386587413199233
COAD,2268,FGR,0.056349,-0.202178148882003
COAD,111216282,LINC02574,0.17998,0.0
COAD,2537,IFI6,1.3642e-11,1.14241489293225
COAD,199870,FAM76A,0.8056,-0.0227580896755257
COAD,23673,STX12,1e-20,-0.810044933735032
COAD,5511,PPP1R8,4.3237e-08,0.267277777299622
COAD,677774,SCARNA1,0.0015208,0.0
COAD,9473,THEMIS2,0.13203,-0.434976834367138
COAD,6118,RPA2,8.0674e-09,0.389467750293844
COAD,27293,SMPDL3B,2.6214e-12,-0.956288509088398
COAD,55113,XKR8,2.952e-14,-0.392250657614999
COAD,2140,EYA3,1.6398e-12,0.412351489169084
COAD,5724,PTAFR,0.77376,-0.401537344468892
COAD,22826,DNAJC8,0.0051852,0.307556543827536
COAD,93974,ATP5IF1,7.12e-12,-0.478402554376952
COAD,83667,SESN2,9.1009e-15,-1.26460880818123
COAD,54797,MED18,1.103e-09,-0.508501529211291
COAD,65979,PHACTR4,2.5199e-05,-0.329413474154183
COAD,1104,RCC1,1e-20,1.12843631463782
COAD,8420,SNHG3,1e-20,1.48151787302797
COAD,26768,SNORA73B,9.9693e-05,1.88951617599322
COAD,54952,TRNAU1AP,0.65613,-0.0835369154781143
COAD,85028,SNHG12,1e-20,1.37202014901233
COAD,692212,SNORD99,9.8979e-07,1.5439352324611
COAD,6883,TAF12,1e-20,0.442618677448538
COAD,115273,RAB42,1.0255e-06,-1.16344572223195
COAD,105378616,LINC01715,0.0038259,0.0
COAD,26824,RNU11,0.22512,0.0
COAD,10691,GMEB1,0.94203,-0.0980108455973123
COAD,51441,YTHDF2,7.413e-08,0.223312302160094
COAD,4985,OPRD1,0.0022867,0.0
COAD,2035,EPB41,0.73415,-0.141634928947783
COAD,399474,TMEM200B,0.00519,-1.02305523622767
COAD,6429,SRSF4,7.0976e-05,0.254190233163331
COAD,51102,MECR,1.0134e-13,0.286614242119126
COAD,10076,PTPRU,8.3381e-15,0.882609228137855
COAD,101929406,LINC01648,0.00012146,0.0
COAD,100129196,MATN1-AS1,5.3e-20,0.423309237242387
COAD,7805,LAPTM5,0.00096385,-0.910727136622029
COAD,100616164,MIR4420,0.0064302,0.0
COAD,105378622,LINC01778,0.015637,0.0
COAD,9672,SDC3,0.69641,0.282179257847108
COAD,9698,PUM1,3.7424e-06,0.127030729067288
COAD,79570,NKAIN1,0.036112,0.0
COAD,9410,SNRNP40,2.505e-14,0.4182905766443
COAD,51538,ZCCHC17,0.010293,0.223913094760051
COAD,2170,FABP3,0.14707,-0.651258262269904
COAD,347735,SERINC2,3.2193e-11,-1.18534476253276
COAD,64129,TINAGL1,0.00044939,0.224589335929558
COAD,3061,HCRTR1,0.083762,0.0
COAD,553115,PEF1,0.00745,-0.0420383332988836
COAD,1307,COL16A1,4.3191e-12,0.841902985317554
COAD,576,ADGRB2,0.02478,-0.11264500899197
COAD,100423028,MIR4254,0.091129,0.0
COAD,90853,SPOCD1,5.8379e-20,0.500802053057158
COAD,8073,PTP4A2,0.33134,-0.114878070551241
COAD,10657,KHDRBS1,6.8593e-19,0.390580020603451
COAD,55116,TMEM39B,3.512e-05,0.199168602830783
COAD,100847018,MIR5585,0.043904,0.0
COAD,23633,KPNA6,7.8883e-06,0.272821224358266
COAD,200081,TXLNA,2.3667e-10,0.391373601495037
COAD,79140,CCDC28B,5.8522e-10,0.771879247957756
COAD,55721,IQCC,1e-20,0.664199384956799
COAD,149069,DCDC2B,0.0021487,0.0
COAD,56063,TMEM234,1e-20,0.410607430573744
COAD,8668,EIF3I,1e-20,0.623197679557671
COAD,84734,FAM167B,0.016754,0.563837803228855
COAD,3932,LCK,0.20183,-0.468431259480171
COAD,3065,HDAC1,0.96569,-0.047704906961766
COAD,65108,MARCKSL1,1e-20,0.830612925582755
COAD,81629,TSSK3,0.011238,0.0
COAD,100128071,FAM229A,0.43932,-0.0572353320655147
COAD,55108,BSDC1,6.9844e-06,-0.209528146502211
COAD,653121,ZBTB8A,0.044636,0.0490088025053882
COAD,339487,ZBTB8OS,0.09795,0.0247951168606767
COAD,5928,RBBP4,3.8021e-18,0.324685726587392
COAD,81493,SYNC,3.2979e-07,-1.66993383566896
COAD,57648,KIAA1522,6.4028e-12,-0.991776937450804
COAD,64766,S100PBP,7.7035e-11,0.351926915603229
COAD,252995,FNDC5,0.64435,-0.155749232677945
COAD,3208,HPCA,6.8054e-05,-1.28688114778816
COAD,113452,TMEM54,5.6637e-16,-1.53745993054855
COAD,127544,RNF19B,6.8115e-08,-0.496160500251485
COAD,204,AK2,0.49514,-0.0061951371529892
COAD,113451,AZIN2,2.9504e-05,-0.814455201806178
COAD,55223,TRIM62,0.04708,-0.25294558821021
COAD,149076,ZNF362,0.092414,-0.146607800789252
