cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
KIRC,3236,HOXD10,2.9472e-16,-1.74084481519018
KIRC,3234,HOXD8,1e-20,-2.06510335788252
KIRC,3232,HOXD3,2.8412e-19,-1.51062774936659
KIRC,3676,ITGA4,1e-20,2.01366370720768
KIRC,375298,CERKL,1e-20,-2.54747070894615
KIRC,5136,PDE1A,1e-20,-3.56317422073798
KIRC,51454,GULP1,8.231300000000001e-19,-1.5560437162537
KIRC,6775,STAT4,1e-20,1.97622521387675
KIRC,5334,PLCL1,1e-20,-3.16552203918185
KIRC,117583,PARD3B,1e-20,-1.71897527146634
KIRC,8828,NRP2,1e-20,1.77816251349664
KIRC,2066,ERBB4,1e-20,-4.09356017616234
KIRC,3485,IGFBP2,1e-20,-3.02912808515739
KIRC,375307,CATIP,1e-20,-1.54950941510299
KIRC,6556,SLC11A1,1e-20,1.87812581048164
KIRC,6508,SLC4A3,7.9552e-11,-2.47092725747513
KIRC,23704,KCNE4,1e-20,2.1610112618071
KIRC,7857,SCG2,6.4185e-11,1.52957110757389
KIRC,3667,IRS1,1.0609e-17,-1.68398325204367
KIRC,1286,COL4A4,1e-20,-2.56046837580162
KIRC,1285,COL4A3,9.7093e-20,-2.29770132373182
KIRC,6364,CCL20,8.4916e-12,2.49710024002494
KIRC,92737,DNER,1e-20,-5.04303822342068
KIRC,11262,SP140,1e-20,1.61258840669872
KIRC,81618,ITM2C,6.7196e-19,-1.66473467677036
KIRC,80303,EFHD1,1e-20,-3.09519346563387
KIRC,3635,INPP5D,1e-20,1.59964785305009
KIRC,8527,DGKD,1e-20,1.98689702304078
KIRC,10123,ARL4C,1e-20,1.601278895986
KIRC,57007,ACKR3,1e-20,2.20012431896045
KIRC,5133,PDCD1,1e-20,1.62667275260599
KIRC,101927174,CHL1-AS2,2.5532e-18,-1.73984810269933
KIRC,10752,CHL1,1e-20,-4.77167433390837
KIRC,9901,SRGAP3,7.8059e-17,-2.67335287740894
KIRC,26140,TTLL3,1e-20,1.62491606022768
KIRC,132014,IL17RE,1.7087e-20,-2.10574333443545
KIRC,285368,PRRT3,1e-20,-1.66793475356805
KIRC,491,ATP2B2,1e-20,1.64938552918152
KIRC,6529,SLC6A1,1e-20,2.04987867476892
KIRC,23066,CAND2,1e-20,-2.28383068499718
KIRC,92106,OXNAD1,1e-20,-1.62124401553015
KIRC,79750,ZNF385D,5.6405e-12,-1.56851859779254
KIRC,7068,THRB,1e-20,-2.40662220853857
KIRC,8320,EOMES,1e-20,1.96606125552159
KIRC,23171,GPD1L,1e-20,-2.21143488960894
KIRC,10217,CTDSPL,1e-20,-1.51067918473827
KIRC,285266,ENTPD3-AS1,1e-20,-1.55541557116472
KIRC,956,ENTPD3,2.3418e-11,-1.74674271577774
KIRC,100874114,CCDC13-AS1,1.0441e-16,-1.94260833611166
KIRC,25994,HIGD1A,1e-20,-1.97395090511531
KIRC,1238,ACKR2,3.6707e-13,-1.87617311443746
KIRC,23395,LARS2,1e-20,-1.81273162798384
KIRC,10663,CXCR6,1e-20,2.79747215701214
KIRC,729230,CCR2,2.7751e-13,1.6656663622902
KIRC,1234,CCR5,1e-20,2.77377778749997
KIRC,79442,LRRC2,1e-20,-3.65866850185465
KIRC,259173,ALS2CL,4.7519e-14,-2.51010563318971
KIRC,4634,MYL3,7.0221e-14,-2.09452774416445
KIRC,5745,PTH1R,1.5156e-14,-3.72257446190038
KIRC,5364,PLXNB1,1e-20,-1.81402359691882
KIRC,5210,PFKFB4,1e-20,2.70663897362066
KIRC,7384,UQCRC1,1e-20,-1.58598377369803
KIRC,327,APEH,1e-20,-1.61743283075181
KIRC,101928931,SEMA3B-AS1,1.4915000000000002e-19,-3.88440255298369
KIRC,7869,SEMA3B,1e-20,-2.23661679650317
KIRC,9254,CACNA2D2,1e-20,-2.1479578813871
KIRC,56920,SEMA3G,1e-20,-2.08487444116911
KIRC,7134,TNNC1,1e-20,-4.85059942381264
KIRC,23166,STAB1,1e-20,1.60720860886187
KIRC,55799,CACNA2D3,1e-20,-2.44243053760656
KIRC,1776,DNASE1L3,1e-20,-3.01712962396318
KIRC,54899,PXK,1e-20,-1.79033115890537
KIRC,5162,PDHB,1e-20,-1.51786803916173
KIRC,105377108,FAM3D-AS1,6.757e-11,-1.88752527074159
KIRC,8801,SUCLG2,1e-20,-1.56810127287995
KIRC,101927111,SUCLG2-AS1,1e-20,-2.15143943059713
KIRC,2850,GPR27,1.1295000000000001e-20,-2.87027824625667
KIRC,23024,PDZRN3,1e-20,-1.58155362447516
KIRC,5067,CNTN3,6.0426e-17,-2.62269612816767
KIRC,2042,EPHA3,1e-20,1.57260325839266
KIRC,84864,RIOX2,1e-20,-1.69515960977539
KIRC,10402,ST3GAL6,1.5128e-18,-1.55056210434039
KIRC,1295,COL8A1,1e-20,2.07840382623085
KIRC,55076,TMEM45A,1e-20,2.90901490433177
KIRC,11148,HHLA2,1e-20,3.29999283002005
KIRC,50852,TRAT1,1e-20,1.59836520532364
KIRC,10225,CD96,1e-20,2.97712939973319
KIRC,29114,TAGLN3,2.6466e-17,-3.29616369909643
KIRC,79669,C3orf52,4.6766e-11,-2.46742714375902
KIRC,4345,CD200,1e-20,1.61772176198615
KIRC,523,ATP6V1A,1e-20,-1.78533561594979
KIRC,54762,GRAMD1C,1e-20,-1.86022769531776
KIRC,201633,TIGIT,1e-20,2.13224779829844
KIRC,152404,IGSF11,1.722e-11,-2.22373144513811
KIRC,3059,HCLS1,1e-20,2.13619926085449
KIRC,6565,SLC15A2,1e-20,-3.88440478431655
KIRC,286676,ILDR1,1e-20,-2.51464592414925
KIRC,942,CD86,1e-20,2.42242963350888
KIRC,846,CASR,1e-20,-5.55234632803289
KIRC,1475,CSTA,1e-20,2.51273898676248
KIRC,54437,SEMA5B,1e-20,4.03260637445314
KIRC,10954,PDIA5,1e-20,1.50138746494362
KIRC,166012,CHST13,1e-20,1.66633159898877
KIRC,50512,PODXL2,3.1368e-18,-1.87889091450073
KIRC,2624,GATA2,3.8476e-17,-1.893574818896
KIRC,23023,TMCC1,1e-20,1.66062769342026
KIRC,5096,PCCB,1e-20,-2.23667055381004
KIRC,53833,IL20RB,2.9683e-15,1.58880456701555
KIRC,64084,CLSTN2,1.0308e-14,-3.7327033538956
KIRC,1356,CP,1e-20,4.27481594528745
KIRC,5217,PFN2,1e-20,-1.68636930054827
KIRC,53829,P2RY13,1e-20,1.8539606392284
KIRC,56670,SUCNR1,2.8124e-11,-3.10511846483981
KIRC,5028,P2RY1,1e-20,2.30934803463818
KIRC,26084,ARHGEF26,1.3458e-12,-2.0768443500287
KIRC,79674,VEPH1,1e-20,-1.69926251121151
KIRC,2122,MECOM,1e-20,-3.12856258751777
KIRC,84517,ACTRT3,5.2485e-15,-1.88529110644055
KIRC,5010,CLDN11,8.5323e-11,-3.10119449583279
KIRC,22871,NLGN1,1e-20,1.87601128272455
KIRC,254827,NAALADL2,1e-20,-2.25518897278859
KIRC,102724550,LINC02015,1e-20,1.79659775404831
KIRC,10242,KCNMB2,4.2065e-14,-1.57821416547245
KIRC,89857,KLHL6,1e-20,2.35501626421955
KIRC,285382,C3orf70,1e-20,1.5716656781077
KIRC,200879,LIPH,1.5141e-15,-4.1962135853854
KIRC,10644,IGF2BP2,1.8972e-16,-3.16935238978927
KIRC,3827,KNG1,1e-20,-9.50460847582041
KIRC,6480,ST6GAL1,3.7056e-17,-2.48778282845213
KIRC,5648,MASP1,1e-20,1.67010523821948
KIRC,10686,CLDN16,1.109e-18,-6.47216280355037
KIRC,131920,TMEM207,4.3693e-13,-4.50817508103267
KIRC,100131551,LINC00887,1e-20,4.75931565083873
KIRC,93109,TMEM44,1e-20,1.56305199135248
KIRC,622,BDH1,1e-20,-3.09904077365639
KIRC,10417,SPON2,3.0533e-13,1.91208203251305
KIRC,339983,NAT8L,1.4585e-15,-4.75595576955096
KIRC,6452,SH3BP2,1e-20,1.59748262971928
KIRC,285489,DOK7,1.3227e-11,-2.31614574229336
KIRC,152,ADRA2C,4.1344e-14,-1.90239532373664
KIRC,10141,LINC01587,7.7647e-12,2.48645695576873
KIRC,114905,C1QTNF7,3.4316e-18,-2.3550901334247
KIRC,83888,FGFBP2,1e-20,1.92159281235821
KIRC,8842,PROM1,7.1889e-11,-3.57203987852622
KIRC,10891,PPARGC1A,1e-20,-2.57997993276676
KIRC,6649,SOD3,6.269600000000001e-19,-1.83866433396222
KIRC,23231,SEL1L3,1e-20,1.59807998803687
KIRC,399,RHOH,1e-20,1.86036693013812
KIRC,7345,UCHL1,1e-20,-4.1660190850633
KIRC,105374428,AC024022.1,1e-20,-3.57337452644594
KIRC,152573,SHISA3,1e-20,-4.05913673910142
KIRC,2555,GABRA2,9.2082e-16,-2.95680011805158
KIRC,152519,NIPAL1,8.4032e-12,-3.35670725293538
KIRC,80157,CWH43,1e-20,-4.47443604325227
KIRC,132671,SPATA18,1e-20,1.51115748990182
KIRC,64854,USP46,1e-20,-1.58208516621955
KIRC,57291,DANCR,1e-20,-2.13074508189954
KIRC,100288413,ERVMER34-1,1.4397e-17,-3.46754034205384
KIRC,84708,LNX1,8.8727e-19,-1.73706058017808
KIRC,5156,PDGFRA,3.2914e-14,-3.8261230817566
KIRC,10117,ENAM,1e-20,-2.57659902778653
KIRC,92597,MOB1B,3.9926000000000004e-19,-1.8202353640524
KIRC,685,BTC,1e-20,-2.33066180323004
KIRC,4283,CXCL9,1e-20,3.18679809445297
KIRC,3627,CXCL10,1e-20,2.79548874591564
KIRC,6373,CXCL11,1e-20,3.12427075350998
KIRC,57619,SHROOM3,1e-20,-2.6657951952396
KIRC,10563,CXCL13,5.3269000000000003e-20,2.17344728605727
KIRC,80144,FRAS1,1e-20,-1.83294228845378
KIRC,306,ANXA3,1e-20,-3.43435821484262
KIRC,79966,SCD5,1e-20,-3.0361844455899
KIRC,51316,PLAC8,2.2662e-16,2.03211899419386
KIRC,84803,GPAT3,1.4107000000000002e-19,-3.63774081277055
KIRC,1040,CDS1,1e-20,-1.61170600715893
KIRC,83478,ARHGAP24,1e-20,-1.9157583457767
KIRC,5783,PTPN13,1e-20,-2.0596064757672
KIRC,8404,SPARCL1,1e-20,1.56106321002893
KIRC,152926,PPM1K,1e-20,-1.75180356952667
KIRC,285512,FAM13A-AS1,1e-20,1.79624998503745
KIRC,401145,CCSER1,1e-20,-2.63505782972521
KIRC,100507012,BMPR1B-DT,6.5687e-15,-1.52506659207821
KIRC,658,BMPR1B,9.6269e-12,-4.23097150805294
KIRC,54848,ARHGEF38,2.2748e-18,-2.63436093169658
KIRC,255743,NPNT,1.2958e-17,-2.4464332668489
KIRC,3033,HADH,1e-20,-1.70124443548447
KIRC,55013,MCUB,1e-20,1.54138730347182
KIRC,1950,EGF,1.8662e-16,-6.90034252225395
KIRC,287,ANK2,1e-20,-3.15966857700248
KIRC,7368,UGT8,6.2745e-17,-2.10842690946158
KIRC,133022,TRAM1L1,8.7782e-17,-1.54598837194817
KIRC,79625,NDNF,2.3883e-11,-6.04884648119216
KIRC,84109,QRFPR,1e-20,2.70461312035631
KIRC,890,CCNA2,4.3126e-12,2.17088647767976
KIRC,100507487,LINC02615,1e-20,1.54827774632565
KIRC,57484,RNF150,1e-20,-3.88444486995779
KIRC,100507639,LINC02432,5.8692e-17,-3.97770656701652
KIRC,4306,NR3C2,1e-20,-2.63728823571178
KIRC,23321,TRIM2,1e-20,-2.36921560910128
KIRC,7097,TLR2,1e-20,1.57162274360133
KIRC,79884,MAP9,1e-20,-1.59721290371226
KIRC,2743,GLRB,3.6079e-16,-2.79570142540796
KIRC,4886,NPY1R,1.2752e-14,-1.60219620462537
KIRC,4889,NPY5R,1e-20,-2.55311470811523
KIRC,9848,MFAP3L,7.3699e-18,-1.82479158475474
KIRC,101928223,LINC01612,2.8047e-20,-2.59741198755465
KIRC,8819,SAP30,1e-20,2.49443557103026
KIRC,3248,HPGD,1.3755e-11,-3.31874442687654
KIRC,79682,CENPU,1e-20,1.85863830930443
KIRC,441054,C4orf47,1e-20,2.23063698996888
KIRC,7098,TLR3,1e-20,1.51575609008709
KIRC,2160,F11,7.7648e-20,-4.8923910259134
KIRC,285441,F11-AS1,7.0751e-18,-2.33942247434663
KIRC,6550,SLC9A3,1.4836e-13,-4.58946164688884
KIRC,100616479,MIR4635,3.1041000000000003e-19,1.66442049534011
KIRC,6531,SLC6A3,1e-20,6.51820464087767
