cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
COAD,286133,SCARA5,6.8407e-18,-5.91166761663939
COAD,7976,FZD3,2.3595e-17,1.56315813040281
COAD,1846,DUSP4,1e-20,2.42876880316072
COAD,100507420,AC124067.2,1e-20,1.9789277763814
COAD,389658,ALKAL1,1e-20,1.5089356618644
COAD,9760,TOX,7.5802e-13,-1.88532277763261
COAD,23213,SULF1,1e-20,2.50637510368965
COAD,56704,JPH1,1e-20,1.95172112527536
COAD,11075,STMN2,1.1519e-16,-4.26035708941592
COAD,759,CA1,8.3458e-11,-10.3121943350778
COAD,760,CA2,2.6295e-17,-6.19737446009105
COAD,8767,RIPK2,1e-20,1.53327500094816
COAD,4147,MATN2,1.6588e-11,-1.91598412682635
COAD,5168,ENPP2,4.9054e-12,-1.76578286658732
COAD,79075,DSCC1,1e-20,1.99564692494285
COAD,27085,MTBP,1e-20,1.849790188378
COAD,6641,SNTB1,1e-20,2.28197186653327
COAD,29028,ATAD2,1e-20,1.85220055050106
COAD,6713,SQLE,1e-20,1.9933694614135
COAD,103164619,CASC19,7.1364e-16,5.31072414798332
COAD,5462,POU5F1B,1e-20,3.16671544496642
COAD,4609,MYC,1e-20,1.84625216633703
COAD,5820,PVT1,1.4987e-12,2.87090724438878
COAD,8840,CCN4,1e-20,2.54399071966485
COAD,11156,PTP4A3,1e-20,2.19957807223725
COAD,4061,LY6E,1e-20,1.59657171500291
COAD,116447,TOP1MT,1e-20,1.65559182120494
COAD,114822,RHPN1,1e-20,3.09240601287897
COAD,642475,MROH6,1e-20,1.79483507165333
COAD,225689,MAPK15,1e-20,2.19156265070076
COAD,23246,BOP1,1e-20,1.6246200463943
COAD,2875,GPT,4.1385e-17,-4.04001083700172
COAD,9401,RECQL4,1e-20,1.97364143797291
COAD,92949,ADAMTSL1,1.2779e-13,-2.37033989652149
COAD,1029,CDKN2A,1e-20,1.8822597310715
COAD,100048912,CDKN2B-AS1,3.7818e-13,-5.7144103876784
COAD,1030,CDKN2B,3.3779e-15,-3.50858257114659
COAD,64922,LRRC19,1.3448e-16,-2.96099721341446
COAD,79817,MOB3B,1e-20,-1.55719491043203
COAD,375704,ENHO,9.2824e-13,-1.83187724119167
COAD,768,CA9,3.0858e-17,4.15457142622761
COAD,646962,HRCT1,3.3245e-11,-2.95964428948894
COAD,152007,GLIPR2,3.2493e-12,-1.80039705265772
COAD,320,APBA1,4.7228e-11,-1.69261550169458
COAD,5125,PCSK5,2.2691e-15,-2.73342220180723
COAD,29968,PSAT1,1e-20,2.67302163858003
COAD,257019,FRMD3,1.8096e-13,-2.4855938347575
COAD,64078,SLC28A3,1e-20,1.54349588342577
COAD,1164,CKS2,1e-20,1.58087131500575
COAD,79695,GALNT12,1.6856e-16,-1.51979088210078
COAD,9314,KLF4,4.6022e-18,-2.86313140914684
COAD,1902,LPAR1,1e-20,-2.10253466186456
COAD,138065,RNF183,1e-20,2.21567859660793
COAD,85301,COL27A1,1e-20,2.11568233507734
COAD,2934,GSN,9.5327e-14,-2.017876341147
COAD,1056,CEL,6.0904e-16,3.1581754259302
COAD,138162,C9orf116,1e-20,1.59617728821708
COAD,286256,LCN12,1e-20,1.93366069675913
COAD,89958,SAPCD2,1e-20,1.85053490514865
COAD,375791,CYSRT1,1.622e-14,1.65122394298988
COAD,377841,ENTPD8,1.283e-11,-3.65377209189516
COAD,1646,AKR1C2,3.2513e-11,-2.19968407029885
COAD,79861,TUBAL3,1.0332e-12,-3.28983869650383
COAD,55388,MCM10,1e-20,1.94949532809648
COAD,8516,ITGA8,4.1997e-14,-1.95616855271848
COAD,653567,TMEM236,1.5587e-16,-4.4771933155558
COAD,10529,NEBL,1e-20,2.46784038284023
COAD,8187,ZNF239,1e-20,1.93439628200842
COAD,643236,TMEM72,5.2116e-14,-4.4463885811617
COAD,9721,GPRIN2,2.5949e-12,-1.84378960082355
COAD,170371,TMEM273,1.6754e-15,-1.69216085264049
COAD,288,ANK3,2.8598e-12,-1.57999938584615
COAD,983,CDK1,1e-20,1.68284100082818
COAD,64081,PBLD,3.9475e-12,-2.52929642551187
COAD,219738,FAM241B,1e-20,1.60947027698642
COAD,27143,PALD1,1e-20,2.17974808392795
COAD,64115,VSIR,4.2408e-18,-1.83087251495415
COAD,109617000,SNORA11F,3.2863e-13,1.50814690367033
COAD,5328,PLAU,1e-20,2.01732930243609
COAD,219348,PLAC9,9.3846e-15,-2.71455095475069
COAD,387695,C10orf99,6.2639e-14,-2.46834948092608
COAD,9060,PAPSS2,3.2184e-17,-2.12287355881844
COAD,51196,PLCE1,3.599e-17,-2.06091996669804
COAD,3070,HELLS,1e-20,1.59140616526665
COAD,23223,RRP12,1e-20,1.58980959117082
COAD,60495,HPSE2,9.0936e-16,-1.69108744095189
COAD,6319,SCD,1e-20,3.12942216036084
COAD,56652,TWNK,1e-20,1.56013010324571
COAD,3195,TLX1,1e-20,1.53406160242112
COAD,54805,CNNM2,1.2362e-14,-1.74916420561576
COAD,100505839,SH3PXD2A-AS1,1e-20,2.00072116724365
COAD,27250,PDCD4,2.058e-17,-2.02940077356938
COAD,840,CASP7,1.4652e-15,-1.64697674633378
COAD,79949,PLEKHS1,6.72e-17,2.31977136938454
COAD,340706,VWA2,1e-20,4.2353410697467
COAD,2263,FGFR2,7.3867e-15,-2.7024584689148
COAD,8038,ADAM12,1.2448e-16,2.85199883711245
COAD,80162,PGGHG,1e-20,2.20951572891953
COAD,8519,IFITM1,1e-20,1.81849450379203
