cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
LUAD,55022,PID1,1e-20,-2.0894499386855
LUAD,10316,NMUR1,6.0491e-14,-2.40979822782842
LUAD,25791,NGEF,1e-20,2.59120067293238
LUAD,55355,HJURP,1e-20,3.42532501937959
LUAD,10267,RAMP1,1e-20,1.77307075745931
LUAD,55502,HES6,1.5517e-14,1.69922997635697
LUAD,27255,CNTN6,1e-20,-3.42492208821069
LUAD,29995,LMCD1,6.2325e-16,-1.79697386455803
LUAD,2177,FANCD2,1e-20,1.55932267956306
LUAD,5468,PPARG,1.7703e-15,-1.58010856405024
LUAD,7476,WNT7A,9.2032e-13,-3.15283240468942
LUAD,152273,FGD5,1e-20,-2.43281850876869
LUAD,9467,SH3BP5,7.0273e-16,-1.53043139857102
LUAD,151648,SGO1,1e-20,1.70132725741294
LUAD,27303,RBMS3,1.0686e-20,-1.86386366644962
LUAD,7048,TGFBR2,1e-20,-1.74922916492591
LUAD,6769,STAC,3.8793e-20,-2.5654791404197
LUAD,9942,XYLB,1e-20,1.55440205070529
LUAD,64651,CSRNP1,3.9938e-12,-2.42276847161233
LUAD,7433,VIPR1,2.938e-12,-3.28501853397891
LUAD,56992,KIF15,1e-20,1.81966818349646
LUAD,7123,CLEC3B,1e-20,-4.33285471941788
LUAD,9034,CCRL2,1e-20,-1.79429339625638
LUAD,5745,PTH1R,6.0972e-18,-2.21922963514548
LUAD,993,CDC25A,1e-20,1.50639883152745
LUAD,1294,COL7A1,1e-20,1.63273352595054
LUAD,10293,TRAIP,1e-20,1.77411134524528
LUAD,101928931,SEMA3B-AS1,6.1615e-14,-1.54160982468899
LUAD,7869,SEMA3B,2.3708e-17,-2.27145096826568
LUAD,3373,HYAL1,1e-20,-2.84828717473311
LUAD,9254,CACNA2D2,1e-20,-3.56370107507308
LUAD,25886,POC1A,1e-20,1.52464006922779
LUAD,56920,SEMA3G,1.3917e-11,-3.00482853201683
LUAD,7134,TNNC1,1e-20,-4.06216301382505
LUAD,692089,SNORD19,7.1074e-12,1.5089356618644
LUAD,100874016,SYNPR-AS1,1e-20,1.71940251193326
LUAD,100507098,ADAMTS9-AS2,6.7471e-11,-2.03491998434916
LUAD,6092,ROBO2,3.6002e-12,-2.40878974758941
LUAD,5627,PROS1,1e-20,-1.60418972027637
LUAD,25890,ABI3BP,2.2909e-19,-2.83565375910177
LUAD,57650,CIP2A,1e-20,1.62047103638321
LUAD,79413,ZBED2,2.9939e-11,-2.52951738102713
LUAD,90102,PHLDB2,7.219e-15,-1.80628239657111
LUAD,4045,LSAMP,8.7105e-16,-1.7552122871808
LUAD,57514,ARHGAP31,1e-20,-2.30225445982235
LUAD,141,ADPRH,1e-20,-1.56250483094322
LUAD,3081,HGD,1e-20,2.03693010723135
LUAD,6565,SLC15A2,1e-20,-1.85041108459954
LUAD,56667,MUC13,1.3312e-17,1.98075651923102
LUAD,57493,HEG1,1.1427e-17,-2.3010068732134
LUAD,200810,ALG1L,1e-20,3.1150812648
LUAD,101927123,LINC02016,3.6913e-13,-3.09828479572342
LUAD,4171,MCM2,1e-20,1.64184278606685
LUAD,50512,PODXL2,1e-20,3.06920854049703
LUAD,2624,GATA2,2.3636e-11,-1.84610165146654
LUAD,79825,EFCC1,3.7527e-18,-2.72845409431069
LUAD,131873,COL6A6,1.1849e-15,-3.35983359332559
LUAD,51554,ACKR4,6.418e-19,-2.5909612413426
LUAD,80111,SLCO2A1,1.2848e-11,-1.84566162100549
LUAD,51208,CLDN18,1e-20,-6.40719066209716
LUAD,83850,ESYT3,6.3084e-12,-1.59890769911975
LUAD,26577,PCOLCE2,4.0636e-16,-3.062060577539
LUAD,5352,PLOD2,1e-20,1.52939383197453
LUAD,185,AGTR1,3.7723e-16,-2.8539634624815
LUAD,1359,CPA3,6.9616e-13,-1.910985311997
LUAD,1356,CP,1e-20,3.55842036792278
LUAD,9934,P2RY14,1.8126e-15,-1.54973101701625
LUAD,285313,IGSF10,8.2523e-14,-3.56727719153395
LUAD,401093,MBNL1-AS1,3.5557e-18,-1.91647664443772
LUAD,5028,P2RY1,1.086e-14,-1.82535962378975
LUAD,26084,ARHGEF26,1e-20,-2.96472178673198
LUAD,4311,MME,1e-20,-3.55395222438368
LUAD,7881,KCNAB1,2.4278e-13,-1.72904626787144
LUAD,79674,VEPH1,1e-20,-3.25430760141321
LUAD,8706,B3GALNT1,4.9316e-17,-1.5139097732499
LUAD,1894,ECT2,1e-20,1.95221041746281
LUAD,27094,KCNMB3,1e-20,1.55912860431908
LUAD,27074,LAMP3,1e-20,-3.35020605988921
LUAD,110599564,EEF1AKMT4,1e-20,2.01534662609525
LUAD,5984,RFC4,1e-20,1.51348755758628
LUAD,116832,RPL39L,1e-20,2.12187487210446
LUAD,5648,MASP1,1.8005e-16,-3.1201566404361
LUAD,285386,TPRG1,1.3637e-19,-1.95324065714292
LUAD,55214,P3H2,1e-20,-2.92205331037566
LUAD,84239,ATP13A4,5.1375e-17,-2.28757520552782
LUAD,131578,LRRC15,1e-20,2.17342390812791
LUAD,200958,MUC20,1e-20,1.59235793349912
LUAD,4585,MUC4,1e-20,1.96301362394244
LUAD,4241,MELTF,1e-20,1.87436419082486
LUAD,10460,TACC3,1e-20,1.59963762253881
LUAD,401115,C4orf48,1e-20,1.53678565121318
LUAD,7466,WFS1,6.1591e-20,-1.75307109151721
LUAD,6286,S100P,1e-20,3.7467711844731
LUAD,84740,AFAP1-AS1,1e-20,4.41169740352087
LUAD,114905,C1QTNF7,3.4524e-17,-3.02612541702265
LUAD,9079,LDB2,4.0978e-19,-2.70600895730512
LUAD,64151,NCAPG,1e-20,2.54201035553661
LUAD,9353,SLIT2,4.5223e-16,-2.63211060173881
LUAD,55203,LGI2,1e-20,1.5859239769586
LUAD,80008,TMEM156,1e-20,2.44072002330486
LUAD,7345,UCHL1,1e-20,1.66867660753168
LUAD,22998,LIMCH1,1.0455e-18,-1.80270417676331
LUAD,132299,OCIAD2,1e-20,2.10358908858596
LUAD,10874,NMU,1e-20,2.73747044908606
LUAD,5471,PPAT,1e-20,1.82354094362129
LUAD,10606,PAICS,1e-20,1.76508180394457
LUAD,28983,TMPRSS11E,1e-20,1.50741409901544
LUAD,54959,ODAM,1e-20,-2.48928602262588
LUAD,80144,FRAS1,2.8224e-11,-2.079784328908
LUAD,306,ANXA3,1e-20,-2.15887000557332
LUAD,5593,PRKG2,1.1702e-20,-2.9712216418545
LUAD,79966,SCD5,1e-20,-1.98821902341946
LUAD,8404,SPARCL1,3.0838e-17,-2.02399735949624
LUAD,6696,SPP1,1e-20,4.76756966300837
LUAD,9429,ABCG2,8.8515e-11,-1.94491728448863
LUAD,6622,SNCA,2.2601e-18,-1.81096617560998
LUAD,27306,HPGDS,2.9644e-17,-1.70098391460464
LUAD,115265,DDIT4L,1e-20,2.15640606530673
LUAD,51705,EMCN,1.1663e-20,-3.14871943055801
LUAD,64116,SLC39A8,1e-20,-2.70231063730277
LUAD,1062,CENPE,1e-20,1.59598097896562
LUAD,255743,NPNT,1e-20,-2.44840374433325
LUAD,27123,DKK2,2.8694e-15,-2.56312374818522
LUAD,7368,UGT8,1e-20,1.66238878751171
LUAD,171024,SYNPO2,1.73e-12,-2.03520367248888
LUAD,8654,PDE5A,1.2166e-15,-1.76256882269501
LUAD,4085,MAD2L1,1e-20,2.33359905535869
LUAD,79625,NDNF,1e-20,-2.19503634857069
LUAD,890,CCNA2,1e-20,2.78422265307997
LUAD,2247,FGF2,1.3824e-11,-2.27828217953273
LUAD,10733,PLK4,1e-20,1.78414292102592
LUAD,23657,SLC7A11,1e-20,2.11236652307256
LUAD,2996,GYPE,1e-20,-3.40463068421761
LUAD,646576,HHIP-AS1,2.1698e-17,-2.68124096664792
LUAD,64399,HHIP,2.4847e-15,-4.43406573896217
LUAD,84057,MND1,1e-20,2.83207985267166
LUAD,6999,TDO2,4.6303e-20,1.82896169800878
LUAD,59350,RXFP1,3.8746e-17,-2.71786831273266
LUAD,9848,MFAP3L,1.3683e-13,-2.51371085761224
LUAD,51809,GALNT7,1e-20,1.640448924224
LUAD,2823,GPM6A,1e-20,-5.65386256532618
LUAD,80014,WWC2,1e-20,-2.42824288468372
LUAD,79682,CENPU,1e-20,2.29678090644114
LUAD,55805,LRP2BP,7.4941e-13,-2.11008051979445
LUAD,2160,F11,1.0287e-16,-2.74803179557241
LUAD,11076,TPPP,7.4016e-13,-2.13494030842411
LUAD,153572,IRX2,2.9698e-11,-2.02470476608089
LUAD,153571,C5orf38,3.9787e-18,-1.99695466801077
LUAD,9037,SEMA5A,8.027700000000001e-19,-3.19854567938208
LUAD,651746,ANKRD33B,1.6752e-12,-1.7986726789578
LUAD,54491,OTULINL,1.6315e-12,-1.7943609454493
LUAD,54463,RETREG1,5.4123e-20,-1.89678880807267
LUAD,23037,PDZD2,1e-20,-2.8626456265785
LUAD,3575,IL7R,2.1674e-12,-1.98364934383604
LUAD,3977,LIFR,5.0828e-12,-1.76250296341409
LUAD,5734,PTGER4,1e-20,-1.69424778142327
LUAD,730,C7,2.6198e-12,-2.32185037533802
LUAD,2690,GHR,8.578100000000001e-19,-2.34283916046905
LUAD,6414,SELENOP,1e-20,-1.79061623790575
LUAD,10309,CCNO,3.6032e-18,2.45051767512545
LUAD,55789,DEPDC1B,1e-20,2.58303762379666
LUAD,64105,CENPK,1e-20,2.02928537053126
LUAD,57486,NLN,1e-20,1.58941428529224
LUAD,891,CCNB1,1e-20,2.83917557294682
LUAD,167465,ZNF366,4.613e-12,-1.59693514238723
LUAD,100505994,LUCAT1,1.0589e-18,2.58024909045985
LUAD,353189,SLCO4C1,6.6429e-13,-1.92853601305905
LUAD,1036,CDO1,3.7642e-18,-3.10264303083758
LUAD,4001,LMNB1,1e-20,1.7740112986714
LUAD,5307,PITX1,1e-20,3.23771666769931
LUAD,9547,CXCL14,5.1695e-17,2.46298303787654
LUAD,2676,GFRA3,8.7939e-16,1.63506010661798
LUAD,995,CDC25C,1e-20,2.19597745864259
LUAD,51237,MZB1,1e-20,1.90329186048608
LUAD,641700,ECSCR,2.1225e-20,-2.26020584322202
LUAD,1839,HBEGF,2.1231e-12,-2.60445543370531
LUAD,56099,PCDHGB7,1.3762e-16,-1.96746524092553
LUAD,5098,PCDHGC3,8.8021e-15,-1.62256990994288
LUAD,51294,PCDH12,1.1233e-13,-1.81460686974921
LUAD,202374,STK32A,1e-20,1.98912771773728
LUAD,6690,SPINK1,3.7069e-16,4.43688749587039
