cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
BRCA,5468,PPARG,4.6294e-17,-3.31423115450487
BRCA,23225,NUP210,1e-20,1.60255561137551
BRCA,117248,GALNT15,1.3484e-16,-3.57976039960139
BRCA,6304,SATB1,1e-20,-1.60489001113525
BRCA,8850,KAT2B,1e-20,-1.51722791360105
BRCA,151648,SGO1,1e-20,2.16382072649042
BRCA,79750,ZNF385D,2.8748e-15,-2.12064409867109
BRCA,7068,THRB,1e-20,-1.81444771207174
BRCA,5915,RARB,6.9479e-18,-1.62693640560669
BRCA,116135,LRRC3B,6.3235e-20,-1.91226662806645
BRCA,27303,RBMS3,1e-20,-2.54476330624845
BRCA,7048,TGFBR2,1e-20,-2.44617900416935
BRCA,112616,CMTM7,1e-20,-1.75031562478066
BRCA,6769,STAC,3.1554e-13,-2.45154083301783
BRCA,3680,ITGA9,1e-20,-1.70030817139928
BRCA,64651,CSRNP1,1e-20,-2.21106917040227
BRCA,1524,CX3CR1,3.8649e-14,-1.92442237835529
BRCA,25924,MYRIP,1e-20,-1.63376561322327
BRCA,389114,ZNF662,1e-20,-1.59972118018798
BRCA,91392,ZNF502,1e-20,-1.50810183261408
BRCA,56992,KIF15,1e-20,2.38441628351813
BRCA,7123,CLEC3B,1.9695e-20,-3.95875571216116
BRCA,5745,PTH1R,1.4486e-18,-2.50090098078365
BRCA,993,CDC25A,1e-20,1.68265061066317
BRCA,3373,HYAL1,1e-20,-2.24283016872877
BRCA,51364,ZMYND10,1e-20,2.09033578287194
BRCA,25886,POC1A,1e-20,1.82945824400438
BRCA,56920,SEMA3G,1.0959e-19,-2.83583716491454
BRCA,54756,IL17RD,4.0482e-19,-1.82351988708656
BRCA,1776,DNASE1L3,1e-20,-3.56150352789717
BRCA,56999,ADAMTS9,1.5678e-13,-1.68538905540944
BRCA,100507098,ADAMTS9-AS2,1e-20,-2.88986288136518
BRCA,285203,EOGT,1e-20,-1.56147883015192
BRCA,23024,PDZRN3,1e-20,-1.51006340527179
BRCA,401074,LINC00960,8.8878e-11,-2.1996149504083
BRCA,389136,VGLL3,3.6875e-18,-2.08738155120716
BRCA,5627,PROS1,1e-20,-2.44383301265194
BRCA,415117,STX19,4.4173e-12,-2.47144761637739
BRCA,131544,CRYBG3,1e-20,-2.24390200924511
BRCA,25890,ABI3BP,1.5127e-17,-2.61476831081461
BRCA,25945,NECTIN3,1e-20,-2.05820195172016
BRCA,4345,CD200,1e-20,-1.54011542689968
BRCA,151887,CCDC80,2.2147e-16,-1.99595970216824
BRCA,91653,BOC,1e-20,-2.44687246447447
BRCA,111,ADCY5,1e-20,-2.48881845605793
BRCA,4638,MYLK,1e-20,-2.80668579188468
BRCA,8997,KALRN,1e-20,-1.54240899563404
BRCA,28999,KLF15,1.1261e-16,-3.56267132998782
BRCA,11343,MGLL,8.6799e-18,-2.18946549957524
BRCA,131873,COL6A6,1.7659e-20,-2.66152159585276
BRCA,51554,ACKR4,1.8244e-17,-2.16296237169109
BRCA,51560,RAB6B,1e-20,-1.6456195165873
BRCA,51421,AMOTL2,1e-20,-1.58893296333582
BRCA,2047,EPHB1,1e-20,-3.68872746080418
BRCA,339855,KY,1e-20,-2.09322211053902
BRCA,80723,SLC35G2,1e-20,-2.10806564320652
BRCA,22808,MRAS,1e-20,-2.31048599137326
BRCA,26577,PCOLCE2,2.857e-15,-5.46716790559583
BRCA,285195,SLC9A9,1e-20,-1.57830398321751
BRCA,57088,PLSCR4,1e-20,-2.34513649127624
BRCA,1360,CPB1,1.2366e-11,-2.27812476826585
BRCA,116441,TM4SF18,1e-20,-1.78120150295356
BRCA,9934,P2RY14,2.6781e-11,-1.65685541920294
BRCA,64805,P2RY12,1e-20,-2.94822704387917
BRCA,285313,IGSF10,1e-20,-3.84709494026056
BRCA,401093,MBNL1-AS1,2.0063e-18,-1.85519240795915
BRCA,4311,MME,1e-20,-4.23416590327075
BRCA,7881,KCNAB1,1e-20,-1.90685141802183
BRCA,152078,PQLC2L,7.1682e-18,-3.30855077386447
BRCA,401097,C3orf80,1e-20,1.68661257681559
BRCA,286827,TRIM59,1e-20,1.71132736622115
BRCA,5010,CLDN11,1e-20,-3.39554019249189
BRCA,5337,PLD1,1e-20,-1.57563892889125
BRCA,1894,ECT2,1e-20,1.59084275201321
BRCA,84002,B3GNT5,1.1437e-11,-1.84774700268443
BRCA,110599564,EEF1AKMT4,1e-20,1.54801136454826
BRCA,9370,ADIPOQ,2.9947e-12,-6.74175042475227
BRCA,5648,MASP1,1.2564e-15,-2.13454953446445
BRCA,100874043,TPRG1-AS1,9.1045e-16,-1.5489297694764
BRCA,8626,TP63,1e-20,-3.95859254042421
BRCA,55214,P3H2,1e-20,-2.28361615972066
BRCA,131578,LRRC15,1e-20,3.4497589345047
BRCA,10460,TACC3,1e-20,2.13195946636924
BRCA,2261,FGFR3,1e-20,1.84834721587672
BRCA,339983,NAT8L,2.7586e-13,-3.07607439558489
BRCA,285489,DOK7,1e-20,1.7260818414851
BRCA,27065,NSG1,1e-20,-3.86810214852509
BRCA,54360,CYTL1,7.903200000000001e-19,-2.03089322501594
BRCA,132884,EVC2,1e-20,-1.51521939682304
BRCA,5522,PPP2R2C,1e-20,2.89782125965936
BRCA,6286,S100P,1e-20,5.0336583362392
BRCA,114905,C1QTNF7,7.1525e-12,-2.26633679942013
BRCA,9079,LDB2,1e-20,-2.3274562683122
BRCA,64151,NCAPG,1e-20,2.95649836136341
BRCA,9353,SLIT2,1e-20,-1.68133436174786
BRCA,6649,SOD3,1e-20,-3.23911469454241
BRCA,152831,KLB,4.6547e-13,-3.45628048151073
BRCA,1259,CNGA1,1.4729e-13,-1.80653028925957
BRCA,132671,SPATA18,1.1003e-19,-1.6318415263421
BRCA,5156,PDGFRA,1e-20,-1.73870577142308
BRCA,3815,KIT,3.4048e-20,-4.01008571209389
BRCA,3512,JCHAIN,4.9158e-13,-2.99273489172958
BRCA,166824,RASSF6,1.5537e-11,-2.05665639359232
BRCA,2921,CXCL3,1.7963e-15,-1.82944368136659
BRCA,2920,CXCL2,4.5326e-20,-4.66201949982727
BRCA,25849,PARM1,1e-20,-1.67812204557278
BRCA,4283,CXCL9,1e-20,2.00484211419376
BRCA,3627,CXCL10,1e-20,2.83258429184349
BRCA,6373,CXCL11,1e-20,2.96100054430487
BRCA,339965,CCDC158,1e-20,-2.12697285625777
BRCA,306,ANXA3,1e-20,-1.83951212160038
BRCA,118429,ANTXR2,1e-20,-1.67998775025394
BRCA,5602,MAPK10,1.0635e-13,-2.02645749966592
BRCA,345274,SLC10A6,7.3139e-18,-1.84157063739552
BRCA,345275,HSD17B13,3.8513e-14,-2.5061449029796
BRCA,51170,HSD17B11,1e-20,-1.62460008138393
BRCA,8404,SPARCL1,1e-20,-2.06720734338404
BRCA,6696,SPP1,1e-20,2.06313668172076
BRCA,5311,PKD2,1e-20,-1.56593914466279
BRCA,9429,ABCG2,3.357e-18,-1.85225745263675
BRCA,10144,FAM13A,1e-20,-2.44935706901767
BRCA,6622,SNCA,1e-20,-2.26728387883515
BRCA,22915,MMRN1,9.6757e-20,-4.33054399732837
BRCA,658,BMPR1B,1e-20,1.62902204943168
BRCA,126,ADH1C,1e-20,-4.74738739965272
BRCA,51705,EMCN,1e-20,-2.25232143670587
BRCA,1062,CENPE,1e-20,2.43990766983443
BRCA,113612,CYP2U1,1e-20,-1.56372570720061
BRCA,51176,LEF1,1e-20,1.74127275973948
BRCA,84570,COL25A1,4.8372e-14,-1.85559110771045
BRCA,3426,CFI,1e-20,-1.8417697886333
BRCA,287,ANK2,1e-20,-2.51660001285472
BRCA,171024,SYNPO2,2.0991e-15,-2.77103606359213
BRCA,8654,PDE5A,2.1993e-18,-1.60830461294649
BRCA,4085,MAD2L1,1e-20,1.76758645807292
BRCA,11107,PRDM5,1e-20,-1.62287801393949
BRCA,79625,NDNF,2.968e-15,-2.26905386010057
BRCA,890,CCNA2,1e-20,2.7537464419311
BRCA,2247,FGF2,1e-20,-3.78916764338974
BRCA,10252,SPRY1,1e-20,-2.10452164119929
BRCA,79633,FAT4,1e-20,-2.2697642404948
BRCA,10733,PLK4,1e-20,1.55146306329605
BRCA,54510,PCDH18,1e-20,-2.11047493172589
BRCA,1047,CLGN,1e-20,1.97142240108623
BRCA,57484,RNF150,1e-20,-3.0350438791639
BRCA,4306,NR3C2,1e-20,-2.77361322918639
BRCA,152503,SH3D19,1e-20,-1.92043794579051
BRCA,23321,TRIM2,1e-20,-1.96505764967446
BRCA,84057,MND1,1e-20,2.32031824345654
BRCA,6999,TDO2,1e-20,1.96310415473555
BRCA,4886,NPY1R,3.2877e-11,-1.60901064135706
BRCA,7092,TLL1,1e-20,-1.94233774303461
BRCA,79804,HAND2-AS1,1e-20,-2.0597013721463
BRCA,55247,NEIL3,1e-20,1.7211538870083
BRCA,56977,STOX2,1e-20,-2.1263121303287
BRCA,79682,CENPU,1e-20,2.14677916967521
BRCA,2180,ACSL1,1.272e-12,-2.34234384210573
BRCA,105377590,AC106897.1,4.2873e-19,-2.89361780242071
BRCA,8470,SORBS2,1e-20,-1.67649971245194
BRCA,25854,FAM149A,1e-20,-2.23335322745344
BRCA,2195,FAT1,1e-20,-1.61677783739822
BRCA,11076,TPPP,1e-20,-1.92898505002738
BRCA,79192,IRX1,3.9182e-15,-3.63801977890258
BRCA,9037,SEMA5A,4.4301e-19,-1.81118946383755
BRCA,651746,ANKRD33B,2.2998e-15,-1.77599702489468
BRCA,23037,PDZD2,6.7116e-17,-2.48598335247238
BRCA,133584,EGFLAM,1e-20,-1.97862634920743
BRCA,3977,LIFR,1e-20,-3.01338335215272
BRCA,5734,PTGER4,1e-20,-1.79735358673117
BRCA,84674,CARD6,1e-20,-1.51455895621418
BRCA,730,C7,3.6597e-16,-3.40921968620684
BRCA,2690,GHR,2.3754e-15,-2.97623686542611
BRCA,6414,SELENOP,1e-20,-1.88056656809723
BRCA,56477,CCL28,1e-20,-3.77780253955321
BRCA,11082,ESM1,1e-20,2.80857956305243
BRCA,8611,PLPP1,1e-20,-1.87643856939987
BRCA,55789,DEPDC1B,1e-20,2.48877205929985
BRCA,285671,RNF180,1e-20,-1.76855048439479
BRCA,64105,CENPK,1e-20,1.69952774813976
BRCA,5295,PIK3R1,1e-20,-1.78308411909489
BRCA,891,CCNB1,1e-20,2.23862130400663
BRCA,4131,MAP1B,1e-20,-1.53324927729927
BRCA,167465,ZNF366,1e-20,-1.790772037862
BRCA,51301,GCNT4,1.3209e-15,-1.85675624911925
BRCA,2151,F2RL2,1e-20,1.52296950285036
BRCA,29958,DMGDH,8.5231e-16,-2.63645061667898
BRCA,23743,BHMT2,2.0255e-15,-3.014434314743
BRCA,1462,VCAN,1e-20,1.51968353254084
BRCA,57561,ARRDC3,3.9233e-20,-1.55159266704593
BRCA,85480,TSLP,1e-20,-1.9627340905958
BRCA,1036,CDO1,1.5803e-17,-3.94329202895865
BRCA,107986443,LINCADL,2.6375e-13,-5.26183165875214
BRCA,206338,LVRN,3.2224e-12,-2.56413424345824
BRCA,9627,SNCAIP,8.6635e-20,-1.81418022179374
BRCA,65983,GRAMD2B,1e-20,-1.78458443921535
BRCA,4001,LMNB1,1e-20,2.35684708213321
BRCA,28965,SLC27A6,1e-20,-3.90535089958096
BRCA,8572,PDLIM4,3.0696e-19,-1.64473905371895
BRCA,5307,PITX1,1e-20,4.61633696987741
BRCA,26249,KLHL3,1e-20,-1.58072419759148
BRCA,995,CDC25C,1e-20,2.76277401312463
BRCA,1958,EGR1,1e-20,-3.44599842018598
BRCA,641700,ECSCR,1e-20,-1.89161298856475
BRCA,9542,NRG2,8.2693e-17,-2.00144197417391
BRCA,56131,PCDHB4,1e-20,-1.68170917168403
BRCA,56129,PCDHB7,2.5244e-18,-1.62905976488415
BRCA,56121,PCDHB15,1e-20,-1.54273894710378
BRCA,56113,PCDHGA2,2.3621e-19,-1.94373382963453
BRCA,56100,PCDHGB6,1e-20,-1.73709603085911
BRCA,56099,PCDHGB7,1e-20,-2.1140036085013
BRCA,2246,FGF1,1e-20,-2.43512236876205
BRCA,23092,ARHGAP26,1e-20,-1.59344083516718
BRCA,2908,NR3C1,1e-20,-1.84498127893313
BRCA,153769,SH3RF2,1e-20,-1.98934440467192
BRCA,154,ADRB2,1e-20,-3.23873735983446
BRCA,22885,ABLIM3,1.0662e-20,-1.70208067017922
BRCA,27190,IL17B,1.2469e-15,-3.75371149369124
BRCA,406937,MIR145,1e-20,-4.74319826937088
BRCA,2878,GPX3,4.9083e-15,-3.85375665098631
BRCA,26112,CCDC69,3.2886e-18,-2.89274841271379
BRCA,2196,FAT2,1e-20,-3.39039254585427
BRCA,10826,FAXDC2,1e-20,-2.8565070809667
BRCA,8728,ADAM19,1e-20,1.62971200745445
BRCA,1879,EBF1,1e-20,-3.0650508660684
BRCA,101927740,LINC02202,1.1518e-20,-1.76298656488058
BRCA,9232,PTTG1,1e-20,2.90392643347982
BRCA,3161,HMMR,1e-20,3.19690710479656
BRCA,57451,TENM2,4.3402e-18,-2.67355642399014
BRCA,6586,SLIT3,1e-20,-2.80661455110091
BRCA,100131897,INSYN2B,2.4804e-14,-3.25005202530037
BRCA,3779,KCNMB1,1e-20,-3.46777653616212
BRCA,1843,DUSP1,1e-20,-2.43859027595991
BRCA,101928154,LINC01485,9.3375e-13,-3.12018602753186
BRCA,114787,GPRIN1,1e-20,2.13389227019756
BRCA,2161,F12,1e-20,2.36826305100409
BRCA,153579,BTNL9,1e-20,-4.55129168570268
BRCA,51299,NRN1,1e-20,-2.78938778256613
BRCA,654,BMP6,1e-20,-2.53688358305679
BRCA,4739,NEDD9,1e-20,-1.54726337996576
BRCA,1906,EDN1,5.0926e-18,-1.91707347976288
BRCA,3400,ID4,1e-20,-3.39553172234293
BRCA,2822,GPLD1,2.7906e-12,-2.0232553523003
BRCA,222698,NKAPL,1e-20,-1.76341157447001
BRCA,80352,RNF39,5.8925e-17,-2.11751487901183
BRCA,80736,SLC44A4,1e-20,2.35701670906045
BRCA,7148,TNXB,8.7534e-19,-4.84242632908515
BRCA,4855,NOTCH4,1e-20,-1.63947612815739
